player,injury,start,end,season,missed,ir_sequence
/players/alton-robinson-robinal06,Knee,2022-09-12,2023-02-24,2022,18,1
/players/alvin-dupree-dupreal01,Abdomen,2021-11-20,2021-12-19,2021,3,3
/players/alvin-dupree-dupreal01,Groin,2016-09-04,2016-11-20,2016,9,1
/players/alvin-dupree-dupreal01,Knee,2020-12-03,2021-02-24,2020,6,2
/players/alvin-dupree-dupreal01,Pectoral,2022-12-29,2023-02-24,2022,2,4
/players/amani-hooker-hookeam01,Foot,2021-09-15,2021-10-31,2021,4,1
/players/amani-hooker-hookeam01,Knee,2023-12-22,2024-02-24,2023,3,2
/players/amani-oruwariye-oruwaam01,Thumb,2021-12-25,2022-02-24,2021,3,1
/players/amara-darboh-darboam01,Hip,2018-09-14,2019-02-24,2018,NULL,1
/players/amare-barno-barnoam01,Knee,2023-12-27,2024-02-24,2023,2,1
/players/ameer-abdullah-abdulam01,Foot,2016-09-21,2017-02-24,2016,15,1
/players/andre-debose-debosan01,Achilles,2015-06-04,2016-02-24,2015,NULL,1
/players/andre-debose-debosan01,Undisclosed,2016-05-25,2016-06-03,2016,NULL,2
/players/andre-dillard-dillaan01,Biceps,2020-09-03,2021-02-24,2020,NULL,1
/players/andre-dillard-dillaan01,Forearm,2022-09-06,2022-10-16,2022,5,2
/players/andre-ellington-ellinan01,Hernia,2014-12-08,2015-02-24,2014,4,1
/players/andre-williams-willian04,Wrist,2017-12-12,2018-02-24,2017,3,1
/players/andrew-billings-billian01,Knee,2016-08-30,2017-02-24,2016,NULL,1
/players/andrew-booth-boothan01,Knee,2022-11-30,2023-02-24,2022,7,1
/players/andrew-donnal-donnaan01,Undisclosed,2020-08-23,2020-09-01,2020,NULL,1
/players/andrew-ogletree-ogletan01,Knee,2022-08-18,2023-02-24,2022,17,1
/players/andrew-thomas-thomaan03,Ankle,2021-10-19,2021-11-22,2021,3,1
/players/andrew-van-ginkel-vangian01,Foot,2019-09-06,2019-11-24,2019,10,1
/players/andrew-van-ginkel-vangian01,Foot,2024-01-09,2024-02-24,2023,1,2
/players/andrus-peat-peatan01,Leg,2018-01-10,2018-02-24,2017,1,1
/players/andrus-peat-peatan01,Pectoral,2021-10-30,2022-02-24,2021,11,2
/players/andy-gallik-gallian01,Knee,2016-08-31,2016-10-14,2016,5,1
/players/andy-janovich-janovan01,Ankle,2016-12-02,2017-02-24,2016,5,1
/players/andy-janovich-janovan01,Elbow,2019-11-19,2020-02-24,2019,6,2
/players/andy-janovich-janovan01,Hamstring,2021-10-12,2021-11-07,2021,3,3
/players/anfernee-jennings-jennian01,Undisclosed,2021-08-31,2022-02-24,2021,NULL,1
/players/anthony-averett-averean01,Shoulder,2020-10-22,2020-12-20,2020,5,1
/players/anthony-averett-averean01,Thumb,2022-09-12,2022-10-23,2022,4,2
/players/anthony-averett-averean01,Toe,2022-11-29,2023-02-24,2022,NULL,3
/players/anthony-averett-averean01,Undisclosed,2023-08-11,2023-08-17,2023,NULL,4
/players/anthony-barr-barran01,Knee,2014-12-27,2015-02-24,2014,1,1
/players/anthony-barr-barran01,Pectoral,2020-09-21,2021-02-24,2020,14,2
/players/anthony-brown-brownan07,Achilles,2022-12-10,2023-02-24,2022,7,3
/players/anthony-brown-brownan07,Ribs,2020-09-19,2020-10-11,2020,3,2
/players/anthony-brown-brownan07,Triceps,2019-11-20,2020-02-24,2019,6,1
/players/anthony-mcfarland-mcfaran02,,2023-09-18,2023-11-12,2023,7,2
/players/anthony-mcfarland-mcfaran02,Undisclosed,2021-09-02,2021-10-31,2021,6,1
/players/anthony-miller-millean04,Shoulder,2022-08-16,2023-02-24,2022,NULL,1
/players/anthony-morris-morrian01,,2019-03-05,2020-02-24,2019,NULL,2
/players/anthony-morris-morrian01,Undisclosed,2015-09-06,2015-09-28,2015,3,1
/players/anthony-richardson-richaan02,Shoulder,2023-10-11,2024-02-24,2023,12,1
/players/anthony-schwartz-schwaan01,Concussion,2022-12-07,2023-02-24,2022,5,1
/players/anthony-schwartz-schwaan01,Hamstring,2023-08-30,2023-09-19,2023,2,2
/players/anthony-walker-walkean02,Hamstring,2021-09-17,2021-10-10,2021,3,1
/players/anthony-walker-walkean02,Knee,2024-01-05,2024-02-24,2023,2,3
/players/anthony-walker-walkean02,Quadriceps,2022-09-23,2023-02-24,2022,14,2
/players/antoine-brooks-brookan01,Leg,2021-08-25,2021-10-31,2021,NULL,1
/players/antone-exum-exuman01,Leg,2016-08-31,2017-02-24,2016,16,2
/players/antone-exum-exuman01,Ribs,2015-12-08,2016-02-24,2015,5,1
/players/antonio-callaway-callaan01,,2020-01-30,2020-02-24,2019,NULL,1
/players/antonio-callaway-callaan01,Knee,2021-08-18,2021-08-26,2021,NULL,2
/players/antonio-gandygolden-gandyan01,Hamstring,2020-10-24,2020-12-27,2020,8,1
/players/antonio-gibson-gibsoan02,Foot,2023-01-05,2023-02-24,2022,1,1
/players/ardarius-stewart-stewaar01,,2021-08-04,2022-02-24,2021,NULL,1
/players/arden-key-keyar01,Foot,2019-11-07,2020-02-24,2019,8,1
/players/arie-kouandjio-kouanar01,Quadriceps,2018-05-23,2019-02-24,2018,NULL,1
/players/arik-armstead-armstar02,Hand,2017-10-17,2018-02-24,2017,10,2
/players/arik-armstead-armstar02,Shoulder,2016-11-08,2017-02-24,2016,8,1
/players/armani-watts-wattsar01,Ankle,2022-08-30,2023-02-24,2022,17,2
/players/armani-watts-wattsar01,Groin,2018-10-09,2019-02-24,2018,13,1
/players/armon-watts-wattsar02,Leg,2020-01-01,2020-02-24,2019,2,1
/players/armonty-bryant-bryanar01,Knee,2014-10-14,2015-02-24,2014,11,1
/players/armonty-bryant-bryanar01,Knee,2016-12-06,2017-02-24,2016,5,2
/players/arthur-brown-brownar02,Thigh,2015-01-02,2015-02-24,2014,2,1
/players/arthur-lynch-lynchar01,Back,2014-08-26,2015-02-24,2014,16,1
/players/artie-burns-burnsar01,Knee,2020-08-20,2021-02-24,2020,NULL,1
