player,position,1,2,3,4,5,6,7,8,9,10,11
DeeJay Dallas,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Deebo Samuel,WR,Healthy,Foot,Healthy,Healthy,Healthy,,,,,,
Deion Jones,LB,Healthy,Healthy,Foot,Healthy,Healthy,Healthy,Shoulder,Healthy,,,
Deiondre' Hall,DB,Healthy,Hamstring,Healthy,Healthy,,,,,,,
Deionte Thompson,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Deiontrez Mount,LB,Knee,Healthy,Hamstring,,,,,,,,
Delano Hill,DB,Healthy,Hip,Healthy,Back,,,,,,,
Delarrin Turner-Yell,DB,Healthy,Knee,,,,,,,,,
Demarcus Ayers,WR,Healthy,Healthy,Healthy,,,,,,,,
Demarcus Christmas,DT,Back,,,,,,,,,,
Demarcus Lawrence,DE,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,Healthy,
Demarcus Robinson,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Demario Douglas,WR,Healthy,,,,,,,,,,
Demetri Goodson,DB,Healthy,Healthy,Knee,,Healthy,,,,,,
Demetric Felton,RB,Healthy,Healthy,Healthy,,,,,,,,
Demetrius McCray,DB,Healthy,Healthy,Healthy,Healthy,Ankle,,,,,,
Demetrius Rhaney,C,Knee,Healthy,Healthy,Healthy,Healthy,,,,,,
Denard Robinson,RB,Healthy,Foot,Healthy,Healthy,,,,,,,
Dennis Daley,OT,Healthy,Concussion,Healthy,Healthy,Ankle,,,,,,
Denzel Mims,WR,Hamstring,Healthy,Healthy,,,,,,,,
Denzel Perryman,LB,Healthy,Healthy,Ankle,Knee,Healthy,Healthy,Healthy,Shoulder,Healthy,,
Denzel Ward,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Denzelle Good,OG,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,Knee,,,,
Deommodore Lenoir,DB,Healthy,Healthy,Healthy,,,,,,,,
Deon Bush,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Quadriceps,Healthy,Healthy,,,
Deon Cain,WR,Knee,Healthy,Healthy,Head,Healthy,,,,,,
Deon Simon,DT,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Deone Bucannon,LB,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,,,,
Deonte Banks,DB,Healthy,,,,,,,,,,
Deonte Brown,OG,Knee,Healthy,Healthy,,,,,,,,
Derek Barnett,DE,Healthy,Shoulder,Healthy,Healthy,Healthy,Knee,Healthy,,,,
Derek Carr,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Derek Parish,TE,Healthy,,,,,,,,,,
Derek Rivers,DE,Knee,Healthy,Undisclosed,Healthy,Healthy,Biceps,Healthy,,,,
Derek Stingley,DB,Hamstring,Hamstring,,,,,,,,,
Derek Watt,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Derick Hall,LB,Healthy,,,,,,,,,,
Derion Kendrick,DB,Healthy,Healthy,,,,,,,,,
Derius Davis,WR,Healthy,,,,,,,,,,
Derrek Tuszka,LB,Hamstring,Healthy,Healthy,,,,,,,,
Derrick Barnes,LB,Healthy,Healthy,Healthy,,,,,,,,
Derrick Brown,DT,Healthy,Healthy,Healthy,Healthy,,,,,,,
Derrick Henry,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,Healthy,,,
Derrick Jones,DB,Healthy,Healthy,Healthy,,,,,,,,
Derrick Kindred,DB,Healthy,Wrist,Healthy,Healthy,,,,,,,
Derrick Nnadi,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Triceps,,,,,
Derrius Guice,RB,Knee,Knee,,,,,,,,,
Derron Smith,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Derwin Gray,OT,Healthy,Healthy,Healthy,,,,,,,,
Derwin James,DB,Healthy,Foot,,Healthy,Healthy,Healthy,,,,,
Deshaun Davis,LB,Healthy,,,,,,,,,,
Deshaun Watson,QB,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Desjuan Johnson,DE,Healthy,,,,,,,,,,
Desmond King,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Desmond Ridder,QB,Healthy,Healthy,,,,,,,,,
Desmond Trufant,DB,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,Forearm,Hamstring,Healthy,,
Deuce Vaughn,RB,Healthy,,,,,,,,,,
Devante Bond,LB,Hamstring,Healthy,Foot,Healthy,Healthy,,,,,,
Devante Downs,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Devante Mays,RB,Healthy,,Ankle,,,,,,,,
Devin Asiasi,TE,Undisclosed,Healthy,Healthy,Healthy,,,,,,,
Devin Bush,LB,Healthy,Knee,Healthy,Healthy,Healthy,,,,,,
Devin Duvernay,WR,Healthy,Healthy,Foot,Back,,,,,,,
Devin Fuller,WR,Shoulder,,,,,,,,,,
Devin Funchess,WR,Healthy,Knee,Healthy,Healthy,Clavicle,,Hamstring,Healthy,,,
Devin Harper,LB,Achilles,Healthy,,,,,,,,,
Devin Lloyd,LB,Healthy,Healthy,,,,,,,,,
Devin Lucien,WR,Healthy,Undisclosed,Healthy,,,,,,,,
Devin Singletary,RB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Devin Smith,WR,Knee,Knee,,,Healthy,,Healthy,,,,
Devin Street,WR,Healthy,Healthy,Healthy,Undisclosed,,,,,,,
Devin Taylor,DE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Devin White,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Devon Kennard,LB,Healthy,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Devon Witherspoon,DB,Healthy,,,,,,,,,,
Devonta Freeman,RB,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,Ankle,Healthy,,,
Devontae Booker,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Devonte Wyatt,DT,Healthy,Healthy,,,,,,,,,
Dexter Lawrence,DE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Dexter McDonald,DB,Healthy,Healthy,Healthy,Ankle,,,,,,,
Dexter McDougle,DB,Knee,Healthy,Healthy,Healthy,Healthy,,,,,,
Dexter Williams,RB,Healthy,Healthy,Healthy,,,,,,,,
Dez Fitzpatrick,WR,Healthy,Healthy,Healthy,,,,,,,,
Dezmen Southward,DB,Healthy,Healthy,Undisclosed,Healthy,Healthy,,,,,,
Dezmin Lewis,WR,Healthy,Healthy,Healthy,,,,,,,,
Dezmon Patmon,WR,Healthy,Foot,Healthy,Healthy,,,,,,,
Dillon Mitchell,WR,Healthy,,,,,,,,,,
Dillon Radunz,OT,Healthy,Knee,Healthy,,,,,,,,
Dion Dawkins,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Dion Jordan,DE,Healthy,Healthy,,,Healthy,Healthy,Healthy,Healthy,,,
Dion Sims,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Concussion,,,,,
Diontae Johnson,WR,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Divine Deablo,LB,Healthy,Forearm,Healthy,,,,,,,,
Dominique Easley,DE,Knee,Thigh,Healthy,,Knee,,,,,,
Dominique Robinson,LB,Healthy,Healthy,,,,,,,,,
Don Jones,DB,Healthy,Healthy,Healthy,Healthy,Knee,,,,,,
Donavon Clark,OG,Knee,Knee,,,,,,,,,
Donnel Pumphrey,RB,Hamstring,Healthy,Healthy,,,,,,,,
Donnie Lewis,DB,Healthy,,,Undisclosed,,,,,,,
Donovan Peoples-Jones,WR,Healthy,Healthy,Healthy,Healthy,,,,,,,
Donovan Smith,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Donovan Wilson,DB,Healthy,Healthy,Shoulder,Healthy,Healthy,,,,,,
Dontae Johnson,DB,Healthy,Healthy,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,Healthy,,
Dontavius Russell,DT,Healthy,,,,,,,,,,
Dontayvion Wicks,WR,Healthy,,,,,,,,,,
Donte Jackson,DB,Healthy,Healthy,Healthy,Groin,Achilles,Healthy,,,,,
Donte Moncrief,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Doran Grant,DB,Healthy,Healthy,Head,Healthy,,,,,,,
Dorance Armstrong,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Dorial Green-Beckham,WR,Healthy,Healthy,,,,,,,,,
Dorian Johnson,OG,Healthy,Healthy,,,,,,,,,
Dorian O'Daniel,LB,Healthy,Healthy,Ankle,Healthy,,,,,,,
Dorian Thompson-Robinson,QB,Hip,,,,,,,,,,
Dorian Williams,LB,Healthy,,,,,,,,,,
Doug Kramer,C,Lower Body,Hand,,,,,,,,,
Drake Jackson,DL,Healthy,Knee,,,,,,,,,
Drake London,WR,Healthy,Healthy,,,,,,,,,
Dre Greenlaw,LB,Healthy,Healthy,Core Muscle,Healthy,Healthy,,,,,,
Dre'Mont Jones,DE,Healthy,Knee,Healthy,Hip,Healthy,,,,,,
Drew Dalman,C,Healthy,Healthy,Healthy,,,,,,,,
Drew Forbes,OG,Knee,,Knee,Healthy,Healthy,,,,,,
Drew Kaser,P,Healthy,Healthy,Healthy,,,,,,,,
Drew Lock,QB,Thumb,Healthy,Healthy,Healthy,Healthy,,,,,,
Drew Sample,TE,Ankle,Healthy,Healthy,Knee,Healthy,,,,,,
Drew Sanders,LB,Healthy,,,,,,,,,,
Dri Archer,WR,Healthy,Healthy,,,,,,,,,
Dru Samia,OG,Healthy,Healthy,Hamstring,,,,,,,,
Drue Tranquill,LB,Healthy,Leg,Healthy,Healthy,Healthy,,,,,,
Duke Dawson,DB,Hamstring,Healthy,Knee,,Groin,Knee,,,,,
Duke Ejiofor,LB,Healthy,,,,,,,,,,
Duke Johnson,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Duke Riley,LB,Healthy,Healthy,Healthy,Biceps,Healthy,Healthy,Healthy,,,,
Duke Shelley,DB,Healthy,Healthy,Hamstring,Healthy,Hamstring,,,,,,
Duke Williams,LS,Healthy,Healthy,Healthy,Healthy,,,,,,,
Durham Smythe,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Duron Harmon,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
Dustin Hopkins,K,Groin,Healthy,Healthy,Healthy,Hip,Healthy,Healthy,Healthy,Healthy,Hamstring,Healthy
Dustin Woodard,C,Healthy,,,,,,,,,,
Dwayne Gratz,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Dwayne Haskins,QB,Healthy,Healthy,Healthy,,,,,,,,
Dwayne Washington,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Dyami Brown,WR,Healthy,Healthy,Healthy,,,,,,,,
Dylan Cantrell,WR,Healthy,,,,,,,,,,
Dylan Donahue,LB,Elbow,Healthy,,,,,,,,,
Dylan Horton,DE,Healthy,,,,,,,,,,
Dylan Parham,OG,Healthy,Healthy,,,,,,,,,
E.J. Gaines,DB,Healthy,,Healthy,Healthy,Concussion,,,,,,
E.J. Manuel,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
E.J. Speed,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Earl Watford,OG,Healthy,Healthy,Hand,Healthy,Healthy,Healthy,Healthy,,Undisclosed,,
Earl Wolff,DB,Healthy,Knee,,Leg,Undisclosed,,,,,,
Earnest Brown,DE,Healthy,Healthy,Healthy,,,,,,,,
Easton Stick,QB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Ed Oliver,DT,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Ed Reynolds,DB,Healthy,Healthy,Healthy,,,,,,,,
Ed Stinson,DT,Toe,Healthy,Healthy,Toe,,,,,,,
Eddie Goldman,DT,Ankle,Ankle,Healthy,Healthy,Healthy,,Healthy,,,,
Eddie Jackson,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,,,,
Eddie Lacy,RB,Healthy,Healthy,Healthy,Ankle,Healthy,,,,,,
Eddie Vanderdoes,DT,Healthy,,Concussion,,Healthy,,,,,,
Edmond Robinson,LB,Healthy,Healthy,Groin,Healthy,,,Healthy,,,,
Edmund Kugbila,OG,Knee,,,,,,,,,,
Edward Ingram,OG,Healthy,Healthy,,,,,,,,,
Ego Ferguson,DT,Healthy,Knee,Undisclosed,Healthy,,,,,,,
Ejuan Price,LB,Healthy,Healthy,,,,,,,,,
Elandon Roberts,LB,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,,,
Elerson Smith,DE,Hamstring,Leg,,,,,,,,,
Elgton Jenkins,OG,Healthy,Healthy,Knee,Healthy,Healthy,,,,,,
Eli Apple,DB,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,,,
Eli Harold,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Elijah Hicks,DB,Healthy,Healthy,,,,,,,,,
Elijah Higgins,TE,Healthy,,,,,,,,,,
Elijah Hood,RB,Healthy,Knee,Healthy,,,,,,,,
Elijah Lee,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Elijah McGuire,RB,Healthy,Foot,Healthy,,Ankle,,,,,,
Elijah Mitchell,RB,Healthy,Knee,Healthy,,,,,,,,
Elijah Molden,DB,Healthy,Groin,Healthy,,,,,,,,
Elijah Moore,WR,Quadriceps,Healthy,Healthy,,,,,,,,
Elijah Qualls,DT,Healthy,Healthy,Healthy,,Healthy,,,,,,
Emeke Egbule,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Emmanuel Forbes,DB,Healthy,,,,,,,,,,
Emmanuel Ogbah,DE,Healthy,Foot,Healthy,Pectoral,Healthy,Healthy,Triceps,Healthy,,,
Eno Benjamin,RB,Healthy,Healthy,Healthy,,,,,,,,
Equanimeous St. Brown,WR,Healthy,Ankle,Knee,Healthy,Healthy,Hamstring,,,,,
Ereck Flowers,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Eric Ebron,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,Knee,,,
Eric Fisher,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Achilles,Healthy,,
Eric Gray,RB,Calf,,,,,,,,,,
Eric Herman,OG,Healthy,Healthy,Healthy,,,,,,,,
Eric Johnson,DT,Healthy,Healthy,,,,,,,,,
Eric Kendricks,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Eric Kush,OG,Healthy,Healthy,Healthy,Healthy,,Healthy,Healthy,Undisclosed,,,
Eric Murray,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
Eric Pinkins,LB,,Healthy,Undisclosed,Healthy,Healthy,,,,,,
Eric Reid,DB,Healthy,Healthy,Healthy,Biceps,Healthy,Healthy,Healthy,,,,
Eric Rowe,DB,Healthy,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,Healthy,Healthy,,
Eric Saubert,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,
Eric Scott,DB,Healthy,,,,,,,,,,
Eric Stokes,DB,Healthy,Knee,Foot,,,,,,,,
Erick Hallett,DB,Healthy,,,,,,,,,,
Erik Ezukanma,WR,Healthy,Healthy,,,,,,,,,
Erik McCoy,C,Healthy,Healthy,Healthy,Calf,Healthy,,,,,,
Ernest Jones,LB,Ankle,Healthy,Healthy,,,,,,,,
Esezi Otomewo,DE,Healthy,Healthy,,,,,,,,,
Ethan Evans,P,Healthy,,,,,,,,,,
Ethan Pocic,C,Healthy,Healthy,Back,Healthy,Knee,Knee,Healthy,,,,
Evan Boehm,OG,Healthy,Healthy,Healthy,Healthy,,Knee,,,,,
Evan Engram,TE,Healthy,Healthy,Foot,Healthy,Healthy,Healthy,Healthy,,,,
Evan Hull,RB,Knee,,,,,,,,,,
Evan McPherson,K,Healthy,Healthy,Healthy,,,,,,,,
Evan Neal,OT,Healthy,Ankle,,,,,,,,,
Evan Spencer,WR,Concussion,Healthy,,,,,,,,,
Evan Weaver,LB,,Healthy,,,,,,,,,
Everett Dawkins,DT,Healthy,Healthy,,,,,,,,,
Eyioma Uwazurike,DT,Healthy,,,,,,,,,,
Ezekiel Ansah,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Shoulder,Healthy,Biceps,,,
Ezekiel Elliott,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Ezra Cleveland,OG,Healthy,Healthy,Healthy,Healthy,,,,,,,
Fabian Moreau,DB,Healthy,Healthy,Hamstring,Healthy,Healthy,Healthy,Healthy,,,,
Fahn Cooper,OT,Healthy,Healthy,,,,,,,,,
Faion Hicks,DB,Healthy,Healthy,,,,,,,,,
Felix Anudike,DE,Healthy,,,,,,,,,,
Folorunso Fatukasi,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Forrest Lamp,OG,,Healthy,Leg,Healthy,Calf,Undisclosed,,,,,
Foster Moreau,TE,Knee,Healthy,Healthy,Healthy,Healthy,,,,,,
Foyesade Oluokun,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Frank Clark,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Frank Darby,WR,Healthy,Healthy,Undisclosed,,,,,,,,
Frank Ragnow,C,Healthy,Healthy,Healthy,Toe,Healthy,Healthy,,,,,
Fred Warner,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Freddie Swain,WR,Healthy,Healthy,Healthy,Hamstring,,,,,,,
Gabe Jackson,OG,Healthy,Healthy,Healthy,Healthy,Elbow,Healthy,Healthy,Healthy,Healthy,Healthy,
Gabe Wright,DT,Healthy,Healthy,Healthy,Healthy,Healthy,,Healthy,,,,
Gabriel Davis,WR,Healthy,Healthy,Healthy,Healthy,,,,,,,
Gardner Minshew,QB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Gareon Conley,DB,Shin,Healthy,Healthy,,,,,,,,
Garett Bolles,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Leg,Healthy,,,,
Garret Wallow,LB,Healthy,Healthy,Healthy,,,,,,,,
Garrett Bradbury,C,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Garrett Gilbert,QB,Healthy,Healthy,,Healthy,Healthy,,Healthy,Healthy,,,
Garrett Gilkey,OT,Healthy,Healthy,Knee,,,,,,,,
Garrett Grayson,QB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Garrett Scott,OT,Healthy,,,,,,,,,,
Garrett Williams,DB,Healthy,,,,,,,,,,
Garrett Wilson,WR,Healthy,Healthy,,,,,,,,,
Gary Brightwell,RB,Neck,Healthy,Hamstring,,,,,,,,
Gary Jennings,WR,Shoulder,,,,,,,,,,
Gavin Escobar,TE,Healthy,Healthy,Achilles,Healthy,Healthy,Healthy,,,,,
Genard Avery,DE,Healthy,Healthy,Elbow,Healthy,Abdomen,Knee,,,,,
Geneo Grissom,DE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Geno Smith,QB,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
Geno Stone,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Geoff Swaim,TE,Healthy,Pectoral,Healthy,Wrist,Concussion,Healthy,Healthy,Healthy,Calf,,
George Asafo-Adjei,OT,Concussion,,,,,,,,,,
George Karlaftis,DE,Healthy,Healthy,,,,,,,,,
George Kittle,TE,Healthy,Healthy,Healthy,Foot,Calf,Healthy,Healthy,,,,
George Pickens,WR,Healthy,Healthy,,,,,,,,,
Gerald Christian,TE,Knee,Healthy,Healthy,,,,,,,,
Gerald Everett,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Gerald Hodges,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Geremy Davis,WR,Healthy,Healthy,Healthy,Healthy,Hamstring,,,,,,
Germain Ifedi,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,,
Germaine Pratt,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Gerod Holliman,DB,Healthy,,,,,,,,,,
Geron Christian,OT,Knee,Healthy,Knee,Healthy,Healthy,Healthy,,,,,
Gerri Green,DE,Healthy,,Healthy,Healthy,,,,,,,
Gerrid Doaks,RB,Healthy,Healthy,Healthy,,,,,,,,
Gervarrius Owens,DB,Healthy,,,,,,,,,,
Gervon Dexter,DT,Healthy,,,,,,,,,,
Giovani Bernard,RB,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Hip,Ankle,
Grady Jarrett,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,
Graham Glasgow,OG,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,,,
Grant Calcaterra,TE,Healthy,Healthy,,,,,,,,,
Grant Delpit,DB,,Healthy,Healthy,Groin,,,,,,,
Grant DuBose,WR,Healthy,,,,,,,,,,
Grant Stuard,LB,Healthy,Healthy,Healthy,,,,,,,,
Greedy Williams,DB,Healthy,,Healthy,Hamstring,Healthy,,,,,,
Greg Dulcich,TE,Hamstring,Hamstring,,,,,,,,,
Greg Gaines,DT,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Greg Little,OT,Ankle,Ankle,Undisclosed,Healthy,,,,,,,
Greg Newsome,DB,Healthy,Healthy,Healthy,,,,,,,,
Greg Robinson,OT,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,,,,,
Greg Senat,OT,Foot,Undisclosed,Healthy,Undisclosed,,Healthy,,,,,
Greg Stroman,DB,Healthy,Groin,Foot,,Healthy,Healthy,,,,,
Gregory Junior,DB,Healthy,Hamstring,,,,,,,,,
Gregory Rousseau,DE,Healthy,Healthy,Healthy,,,,,,,,
Grover Stewart,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Ha Ha Clinton-Dix,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,Healthy,,,
Haason Reddick,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Hakeem Adeniji,OT,Healthy,Healthy,Healthy,Healthy,,,,,,,
Hakeem Butler,WR,Hand,Healthy,Healthy,,,,,,,,
Halapoulivaati Vaitai,OT,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,Undisclosed,Back,,,
Hamsah Nasirildeen,LB,Undisclosed,Healthy,Neck,,,,,,,,
Harlan Miller,DB,Healthy,Healthy,Healthy,,,,,,,,
Harold Landry,LB,Healthy,Healthy,Healthy,Healthy,,Healthy,,,,,
Harrison Bryant,TE,Healthy,Healthy,Healthy,Healthy,,,,,,,
Harrison Butker,K,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Harrison Hand,DB,Healthy,Healthy,Healthy,,,,,,,,
Harrison Phillips,DT,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,,,
Hassan Haskins,RB,Healthy,Undisclosed,,,,,,,,,
Hassan Ridgeway,DT,Healthy,Healthy,Healthy,Ankle,Biceps,Healthy,Pectoral,Calf,,,
Hau'oli Kikaha,LB,Healthy,,Ankle,Healthy,,,,,,,
Hayden Hurst,TE,Healthy,Healthy,Healthy,Ankle,Healthy,Concussion,,,,,
Hayes Pullard,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Hendon Hooker,QB,Healthy,,,,,,,,,,
Henry Anderson,DE,Knee,Healthy,Throat,Healthy,Healthy,Healthy,Pectoral,Undisclosed,Foot,,
Henry Ruggs,WR,Healthy,Healthy,,,,,,,,,
Henry To'o To'o,LB,Healthy,,,,,,,,,,
Hjalte Froholdt,OG,Shoulder,Healthy,Healthy,Healthy,Healthy,,,,,,
Howard Wilson,DB,Knee,,,,,,,,,,
Hroniss Grasu,C,Healthy,,Healthy,Healthy,Healthy,Healthy,,Healthy,Healthy,,
Hugh Thornton,OG,Healthy,Knee,Ankle,,,,,,,,
Hunter Bradley,LS,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Hunter Henry,TE,Healthy,Kidney,Knee,Healthy,Healthy,Healthy,Healthy,Knee,,,
Hunter Long,TE,Healthy,Healthy,Thigh,,,,,,,,
Hunter Renfrow,WR,Healthy,Healthy,Healthy,Ribs,Healthy,,,,,,
IK Enemkpali,LB,Healthy,Healthy,Knee,Healthy,,,,,,,
Ian Book,QB,Healthy,Healthy,Healthy,,,,,,,,
Ian Silberman,OG,Healthy,Healthy,Healthy,Healthy,,,,,,,
Ian Thomas,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Calf,,,,,
Ibraheim Campbell,DB,Healthy,Healthy,Hamstring,Knee,Knee,Healthy,Healthy,,,,
Ifeadi Odenigbo,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,
Ifeatu Melifonwu,DB,Thigh,Healthy,Healthy,,,,,,,,
Ifo Ekpre-Olomu,DB,Healthy,,,,,,,,,,
Ihmir Smith-Marsette,WR,Healthy,Healthy,Healthy,,,,,,,,
Ikem Ekwonu,OT,Healthy,Healthy,,,,,,,,,
Iman Marshall,DB,Toe,,,,,,,,,,
Irv Smith,TE,Healthy,Healthy,Knee,Ankle,Healthy,,,,,,
Isaac Asiata,OG,Healthy,Healthy,,,,,,,,,
Isaac Nauta,TE,Healthy,Healthy,Chest,,,,,,,,
Isaac Rochell,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Isaac Seumalo,OG,Healthy,Healthy,Healthy,Healthy,Knee,Lisfranc,Healthy,Healthy,,,
Isaac Yiadom,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Isaiah Bolden,DB,Concussion,,,,,,,,,,
Isaiah Buggs,DT,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Isaiah Coulter,WR,Neck,Healthy,Healthy,Healthy,,,,,,,
Isaiah Ford,WR,,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,
Isaiah Foskey,DE,Healthy,,,,,,,,,,
Isaiah Hodgins,WR,,Healthy,Healthy,Healthy,,,,,,,
Isaiah Johnson,DB,Concussion,Healthy,Healthy,,,,,,,,
Isaiah Likely,TE,Healthy,Healthy,,,,,,,,,
Isaiah McDuffie,LB,Healthy,Healthy,Healthy,,,,,,,,
Isaiah McGuire,DE,Healthy,,,,,,,,,,
Isaiah McKenzie,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Isaiah Oliver,DB,Healthy,Healthy,Healthy,Knee,Knee,Healthy,,,,,
Isaiah Prince,OT,Healthy,,Healthy,Elbow,Healthy,,,,,,
Isaiah Rodgers,DB,Healthy,Healthy,Knee,,,,,,,,
Isaiah Simmons,LB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Isaiah Spiller,RB,Healthy,Healthy,,,,,,,,,
Isaiah Thomas,DE,Healthy,Healthy,,,,,,,,,
Isaiah Wilson,OG,Healthy,,,,,,,,,,
Isaiah Wynn,OT,Achilles,Toe,Knee,Healthy,Foot,Quadriceps,,,,,
