,page,transdate,team,transaction
25097,/players/aaron-banks-banksaa01,2021-05-13,San Francisco (NFL),Signed
12469,/players/aaron-burbridge-burbraa01,2016-05-06,San Francisco (NFL),Signed
12468,/players/aaron-burbridge-burbraa01,2017-09-02,San Francisco (NFL),Placed on Injured Reserve (Hamstring)
12467,/players/aaron-burbridge-burbraa01,2018-09-01,San Francisco (NFL),Waived (injured)
12466,/players/aaron-burbridge-burbraa01,2018-09-02,San Francisco (NFL),Placed on Injured Reserve (Hamstring)
12465,/players/aaron-burbridge-burbraa01,2018-09-12,San Francisco (NFL),Waived from Injured Reserve
12464,/players/aaron-burbridge-burbraa01,2018-10-23,San Francisco (NFL),Signed to the Practice Squad
12463,/players/aaron-burbridge-burbraa01,2018-11-01,San Francisco (NFL),Released from the Practice Squad
12462,/players/aaron-burbridge-burbraa01,2019-01-24,Denver (NFL),Signed to a future contract
12461,/players/aaron-burbridge-burbraa01,2019-07-17,Denver (NFL),Waived
4270,/players/aaron-colvin-colviaa01,2014-05-21,Jacksonville (NFL),Signed
4269,/players/aaron-colvin-colviaa01,2014-08-26,Jacksonville (NFL),Placed on the Non-Football Injury List (Knee)
4268,/players/aaron-colvin-colviaa01,2014-11-11,Jacksonville (NFL),Activated from the Reserve/Non-Football Injury List
4267,/players/aaron-colvin-colviaa01,2016-09-03,Jacksonville (NFL),Placed on the Reserve/Suspended List
4266,/players/aaron-colvin-colviaa01,2016-10-10,Jacksonville (NFL),Activated from the Reserve/Suspended List
4265,/players/aaron-colvin-colviaa01,2016-12-23,Jacksonville (NFL),Placed on Injured Reserve (Ankle)
4264,/players/aaron-colvin-colviaa01,2018-03-16,Houston (NFL),Signed
4263,/players/aaron-colvin-colviaa01,2019-09-11,Houston (NFL),Released
4262,/players/aaron-colvin-colviaa01,2019-09-13,Washington (NFL),Signed
4261,/players/aaron-colvin-colviaa01,2020-05-14,Washington (NFL),Signed
4260,/players/aaron-colvin-colviaa01,2020-09-05,Washington (NFL),Released
4259,/players/aaron-colvin-colviaa01,2020-09-06,Washington (NFL),Signed to the Practice Squad
658,/players/aaron-dobson-dobsoaa01,2013-06-20,New England (NFL),Signed
657,/players/aaron-dobson-dobsoaa01,2014-12-04,New England (NFL),Placed on Injured Reserve (Hamstring)
656,/players/aaron-dobson-dobsoaa01,2015-11-26,New England (NFL),Placed on Injured Reserve (Ankle)
655,/players/aaron-dobson-dobsoaa01,2016-09-03,New England (NFL),Waived
654,/players/aaron-dobson-dobsoaa01,2016-09-21,Detroit (NFL),Signed
653,/players/aaron-dobson-dobsoaa01,2016-09-24,Detroit (NFL),Waived
652,/players/aaron-dobson-dobsoaa01,2016-09-27,Detroit (NFL),Signed
651,/players/aaron-dobson-dobsoaa01,2016-10-08,Detroit (NFL),Waived
650,/players/aaron-dobson-dobsoaa01,2017-01-05,Arizona (NFL),Signed to a future contract
649,/players/aaron-dobson-dobsoaa01,2017-09-02,Arizona (NFL),Placed on Injured Reserve (Hamstring)
648,/players/aaron-dobson-dobsoaa01,2017-09-06,Arizona (NFL),Released from Injured Reserve
3044,/players/aaron-donald-donalaa01,2014-06-12,St. Louis (NFL),Signed
3043,/players/aaron-donald-donalaa01,2017-07-29,LA Rams (NFL),Placed on the Reserve/Did Not Report List
3042,/players/aaron-donald-donalaa01,2017-09-09,LA Rams (NFL),Reinstated
3041,/players/aaron-donald-donalaa01,2018-07-27,LA Rams (NFL),Placed on the Reserve/Did Not Report List
3040,/players/aaron-donald-donalaa01,2018-09-08,LA Rams (NFL),Reinstated
15371,/players/aaron-jones-jonesaa02,2017-05-05,Green Bay (NFL),Signed
15370,/players/aaron-jones-jonesaa02,2018-09-01,Green Bay (NFL),Placed on the Reserve/Suspended List
15369,/players/aaron-jones-jonesaa02,2018-09-17,Green Bay (NFL),Activated from the Reserve/Suspended List
15368,/players/aaron-jones-jonesaa02,2018-12-18,Green Bay (NFL),Placed on Injured Reserve (Knee)
15367,/players/aaron-jones-jonesaa02,2021-03-26,Green Bay (NFL),Re-signed
15366,/players/aaron-jones-jonesaa02,2024-03-11,Green Bay (NFL),Released
15365,/players/aaron-jones-jonesaa02,2024-03-15,Minnesota (NFL),Signed
4777,/players/aaron-lynch-lynchaa01,2014-05-13,San Francisco (NFL),Signed
4776,/players/aaron-lynch-lynchaa01,2016-09-03,San Francisco (NFL),Placed on the Reserve/Suspended List
4775,/players/aaron-lynch-lynchaa01,2016-10-06,San Francisco (NFL),Activated from the Reserve/Suspended List
4774,/players/aaron-lynch-lynchaa01,2018-03-16,Chicago (NFL),Signed
4773,/players/aaron-lynch-lynchaa01,2019-04-02,Chicago (NFL),Re-signed
4772,/players/aaron-lynch-lynchaa01,2020-05-05,Jacksonville (NFL),Signed
4771,/players/aaron-lynch-lynchaa01,2020-08-18,Jacksonville (NFL),Placed on the Reserve/Retired List
4770,/players/aaron-lynch-lynchaa01,2020-10-21,Jacksonville (NFL),Reinstated
2727,/players/aaron-mellette-melleaa01,2013-05-03,Baltimore (NFL),Signed
2726,/players/aaron-mellette-melleaa01,2013-09-11,Baltimore (NFL),Placed on Injured Reserve (Knee)
2725,/players/aaron-mellette-melleaa01,2014-06-17,Baltimore (NFL),Waived
4975,/players/aaron-murray-murraaa01,2014-05-21,Kansas City (NFL),Signed
4974,/players/aaron-murray-murraaa01,2016-09-03,Kansas City (NFL),Waived
4973,/players/aaron-murray-murraaa01,2016-09-06,Arizona (NFL),Signed to the Practice Squad
4972,/players/aaron-murray-murraaa01,2016-09-12,Arizona (NFL),Released from the Practice Squad
4971,/players/aaron-murray-murraaa01,2016-09-13,Philadelphia (NFL),Signed to the Practice Squad
4970,/players/aaron-murray-murraaa01,2017-03-23,LA Rams (NFL),Signed
4969,/players/aaron-murray-murraaa01,2017-05-11,LA Rams (NFL),Waived
8770,/players/aaron-ripkowski-ripkoaa01,2015-05-08,Green Bay (NFL),Signed
8769,/players/aaron-ripkowski-ripkoaa01,2018-09-01,Green Bay (NFL),Waived
8768,/players/aaron-ripkowski-ripkoaa01,2019-01-31,Kansas City (NFL),Signed to a future contract
8767,/players/aaron-ripkowski-ripkoaa01,2019-05-03,Kansas City (NFL),Waived
25194,/players/aaron-robinson-robinaa01,2021-05-27,NY Giants (NFL),Signed
25193,/players/aaron-robinson-robinaa01,2021-08-31,NY Giants (NFL),Placed on the Physically Unable to Perform List (Core Muscle)
25192,/players/aaron-robinson-robinaa01,2021-11-01,NY Giants (NFL),Activated from the Physically Unable to Perform List
25191,/players/aaron-robinson-robinaa01,2021-12-15,NY Giants (NFL),Placed on COVID-19 List
25190,/players/aaron-robinson-robinaa01,2021-12-25,NY Giants (NFL),Activated from the Reserve/COVID-19 List
25189,/players/aaron-robinson-robinaa01,2022-10-04,NY Giants (NFL),Placed on Injured Reserve (Knee)
25188,/players/aaron-robinson-robinaa01,2023-08-29,NY Giants (NFL),Placed on the Physically Unable to Perform List (Knee)
12647,/players/aaron-wallace-wallaaa02,2016-05-09,Tennessee (NFL),Signed
12646,/players/aaron-wallace-wallaaa02,2017-09-20,Tennessee (NFL),Placed on Injured Reserve (Back)
12645,/players/aaron-wallace-wallaaa02,2018-09-18,Tennessee (NFL),Waived
12644,/players/aaron-wallace-wallaaa02,2018-11-20,Cincinnati (NFL),Signed to the Practice Squad
12643,/players/aaron-wallace-wallaaa02,2018-12-28,Denver (NFL),Signed from the Cincinnati Bengals practice squad
12642,/players/aaron-wallace-wallaaa02,2019-08-21,Denver (NFL),Waived (injured)
12641,/players/aaron-wallace-wallaaa02,2019-08-23,Denver (NFL),Placed on Injured Reserve (Hamstring)
12640,/players/aaron-wallace-wallaaa02,2019-08-27,Denver (NFL),Waived from Injured Reserve
26765,/players/abraham-lucas-lucasab01,2022-05-25,Seattle (NFL),Signed
26764,/players/abraham-lucas-lucasab01,2023-09-13,Seattle (NFL),Placed on Injured Reserve (Knee)
26763,/players/abraham-lucas-lucasab01,2023-11-15,Seattle (NFL),Designated for return from Injured Reserve
26762,/players/abraham-lucas-lucasab01,2023-11-30,Seattle (NFL),Activated from Injured Reserve
1161,/players/ace-sanders-sandeac01,2013-07-15,Jacksonville (NFL),Signed
1160,/players/ace-sanders-sandeac01,2014-09-01,Jacksonville (NFL),Placed on the Reserve/Suspended List
1159,/players/ace-sanders-sandeac01,2014-10-04,Jacksonville (NFL),Activated from the Reserve/Suspended List
1158,/players/ace-sanders-sandeac01,2015-07-17,Jacksonville (NFL),Waived
15642,/players/adam-bisnowaty-bisnoad01,2017-05-19,NY Giants (NFL),Signed
15641,/players/adam-bisnowaty-bisnoad01,2017-09-02,NY Giants (NFL),Waived
15640,/players/adam-bisnowaty-bisnoad01,2017-09-03,NY Giants (NFL),Signed to the Practice Squad
15639,/players/adam-bisnowaty-bisnoad01,2017-12-30,NY Giants (NFL),Signed to the Active Roster from the Practice Squad
15638,/players/adam-bisnowaty-bisnoad01,2018-05-14,NY Giants (NFL),Waived
15637,/players/adam-bisnowaty-bisnoad01,2018-05-15,Detroit (NFL),Acquired via waivers (from the New York Giants)
15636,/players/adam-bisnowaty-bisnoad01,2018-07-31,Detroit (NFL),Waived
15635,/players/adam-bisnowaty-bisnoad01,2018-08-01,Carolina (NFL),Acquired via waivers (from the Detroit Lions)
15634,/players/adam-bisnowaty-bisnoad01,2018-08-31,Carolina (NFL),Waived
15633,/players/adam-bisnowaty-bisnoad01,2018-10-23,Minnesota (NFL),Signed to the Practice Squad
15632,/players/adam-bisnowaty-bisnoad01,2019-01-02,Minnesota (NFL),Signed to a future contract
15631,/players/adam-bisnowaty-bisnoad01,2019-05-08,Minnesota (NFL),Waived
15630,/players/adam-bisnowaty-bisnoad01,2019-05-23,Washington (NFL),Signed
15629,/players/adam-bisnowaty-bisnoad01,2019-05-28,Washington (NFL),Waived
15628,/players/adam-bisnowaty-bisnoad01,2019-08-10,Denver (NFL),Signed
15627,/players/adam-bisnowaty-bisnoad01,2019-08-31,Denver (NFL),Waived
10315,/players/adam-gotsis-gotsiad01,2016-05-25,Denver (NFL),Signed
10314,/players/adam-gotsis-gotsiad01,2019-12-24,Denver (NFL),Placed on Injured Reserve (Knee)
10313,/players/adam-gotsis-gotsiad01,2020-08-02,Jacksonville (NFL),Signed
10312,/players/adam-gotsis-gotsiad01,2021-03-25,Jacksonville (NFL),Re-signed
10311,/players/adam-gotsis-gotsiad01,2022-05-04,Jacksonville (NFL),Re-signed
10310,/players/adam-gotsis-gotsiad01,2022-09-01,Jacksonville (NFL),Released
10309,/players/adam-gotsis-gotsiad01,2022-09-05,Jacksonville (NFL),Signed
10308,/players/adam-gotsis-gotsiad01,2023-03-20,Jacksonville (NFL),Re-signed
13491,/players/adam-shaheen-shahead01,2017-05-19,Chicago (NFL),Signed
13490,/players/adam-shaheen-shahead01,2018-09-02,Chicago (NFL),Placed on Injured Reserve (Ankle)
13489,/players/adam-shaheen-shahead01,2018-11-07,Chicago (NFL),Designated for return from Injured Reserve
13488,/players/adam-shaheen-shahead01,2018-11-17,Chicago (NFL),Activated from Injured Reserve
13487,/players/adam-shaheen-shahead01,2019-11-30,Chicago (NFL),Placed on Injured Reserve (Foot)
13486,/players/adam-shaheen-shahead01,2020-07-26,Chicago (NFL),Traded to the Miami Dolphins
13485,/players/adam-shaheen-shahead01,2021-08-01,Miami (NFL),Placed on COVID-19 List
13484,/players/adam-shaheen-shahead01,2021-08-05,Miami (NFL),Activated from the Reserve/COVID-19 List
13483,/players/adam-shaheen-shahead01,2021-09-06,Miami (NFL),Placed on COVID-19 List
13482,/players/adam-shaheen-shahead01,2021-09-15,Miami (NFL),Activated from the Reserve/COVID-19 List
13481,/players/adam-shaheen-shahead01,2022-08-16,Miami (NFL),Placed on Injured Reserve (Knee)
23294,/players/adam-trautman-trautad01,2020-07-28,New Orleans (NFL),Signed
23293,/players/adam-trautman-trautad01,2021-11-23,New Orleans (NFL),Placed on Injured Reserve (Knee)
23292,/players/adam-trautman-trautad01,2021-12-15,New Orleans (NFL),Designated for return from Injured Reserve
23291,/players/adam-trautman-trautad01,2021-12-18,New Orleans (NFL),Activated from Injured Reserve
23290,/players/adam-trautman-trautad01,2021-12-22,New Orleans (NFL),Placed on COVID-19 List
23289,/players/adam-trautman-trautad01,2021-12-29,New Orleans (NFL),Activated from the Reserve/COVID-19 List
23288,/players/adam-trautman-trautad01,2023-05-01,New Orleans (NFL),Traded to the Denver Broncos
18989,/players/ade-aruna-arunaad01,2018-05-04,Minnesota (NFL),Signed
18988,/players/ade-aruna-arunaad01,2018-08-20,Minnesota (NFL),Placed on Injured Reserve (Knee)
18987,/players/ade-aruna-arunaad01,2019-08-31,Minnesota (NFL),Waived (injured)
18986,/players/ade-aruna-arunaad01,2019-09-01,Minnesota (NFL),Placed on Injured Reserve (Knee)
18985,/players/ade-aruna-arunaad01,2019-09-19,Minnesota (NFL),Waived from Injured Reserve
18984,/players/ade-aruna-arunaad01,2019-12-26,Oakland (NFL),Signed to the Practice Squad
18983,/players/ade-aruna-arunaad01,2019-12-30,Oakland (NFL),Signed to a future contract
18982,/players/ade-aruna-arunaad01,2020-07-27,Las Vegas (NFL),Waived
18981,/players/ade-aruna-arunaad01,2020-08-08,Las Vegas (NFL),Signed
18980,/players/ade-aruna-arunaad01,2020-08-25,Las Vegas (NFL),Waived
18979,/players/ade-aruna-arunaad01,2021-04-15,British Columbia (CFL),Signed
18978,/players/ade-aruna-arunaad01,2021-07-02,British Columbia (CFL),Placed on the Reserve/Suspended List
18977,/players/ade-aruna-arunaad01,2021-07-20,British Columbia (CFL),Activated from the Reserve/Suspended List
18976,/players/ade-aruna-arunaad01,2021-08-11,British Columbia (CFL),Signed to the Practice Squad
18975,/players/ade-aruna-arunaad01,2021-09-15,British Columbia (CFL),Placed on the Reserve/Suspended List
18974,/players/ade-aruna-arunaad01,2023-02-14,British Columbia (CFL),Released
25865,/players/adetokunbo-ogundeji-ogundad01,2021-06-15,Atlanta (NFL),Signed
25864,/players/adetokunbo-ogundeji-ogundad01,2023-08-15,Atlanta (NFL),Placed on Injured Reserve (Foot)
25863,/players/adetokunbo-ogundeji-ogundad01,2024-05-16,Atlanta (NFL),Waived
27626,/players/adetomiwa-adebawore-adebaad01,2023-05-24,Indianapolis (NFL),Signed
10621,/players/adolphus-washington-washiad01,2016-05-17,Buffalo (NFL),Signed
10620,/players/adolphus-washington-washiad01,2018-09-11,Buffalo (NFL),Waived
10619,/players/adolphus-washington-washiad01,2018-09-18,Dallas (NFL),Signed to the Practice Squad
10618,/players/adolphus-washington-washiad01,2018-09-26,Cincinnati (NFL),Signed from the Dallas Cowboys practice squad
10617,/players/adolphus-washington-washiad01,2018-11-23,Cincinnati (NFL),Placed on Injured Reserve (Knee)
10616,/players/adolphus-washington-washiad01,2019-04-23,Cincinnati (NFL),Waived
10615,/players/adolphus-washington-washiad01,2019-05-23,Miami (NFL),Signed
10614,/players/adolphus-washington-washiad01,2019-09-01,Miami (NFL),Waived
13216,/players/adoree-jackson-jacksad01,2017-05-23,Tennessee (NFL),Signed
13215,/players/adoree-jackson-jacksad01,2020-09-14,Tennessee (NFL),Placed on Injured Reserve (Knee)
13214,/players/adoree-jackson-jacksad01,2020-10-21,Tennessee (NFL),Designated for return from Injured Reserve
13213,/players/adoree-jackson-jacksad01,2020-11-11,Tennessee (NFL),Activated from Injured Reserve
13212,/players/adoree-jackson-jacksad01,2021-03-16,Tennessee (NFL),Released
13211,/players/adoree-jackson-jacksad01,2021-03-23,NY Giants (NFL),Signed
13210,/players/adoree-jackson-jacksad01,2021-12-16,NY Giants (NFL),Placed on COVID-19 List
13209,/players/adoree-jackson-jacksad01,2021-12-29,NY Giants (NFL),Activated from the Reserve/COVID-19 List
7993,/players/adrian-amos-amosad01,2015-05-05,Chicago (NFL),Signed
7992,/players/adrian-amos-amosad01,2019-03-14,Green Bay (NFL),Signed
7991,/players/adrian-amos-amosad01,2023-06-14,NY Jets (NFL),Signed
7990,/players/adrian-amos-amosad01,2023-12-02,NY Jets (NFL),Waived
7989,/players/adrian-amos-amosad01,2023-12-06,Houston (NFL),Signed
16169,/players/adrian-colbert-colbead01,2017-05-05,San Francisco (NFL),Signed
16168,/players/adrian-colbert-colbead01,2018-10-23,San Francisco (NFL),Placed on Injured Reserve (Ankle)
16167,/players/adrian-colbert-colbead01,2019-08-31,San Francisco (NFL),Waived (injured)
16166,/players/adrian-colbert-colbead01,2019-09-01,San Francisco (NFL),Placed on Injured Reserve (Hamstring)
16165,/players/adrian-colbert-colbead01,2019-09-06,San Francisco (NFL),Waived from Injured Reserve
16164,/players/adrian-colbert-colbead01,2019-09-18,Seattle (NFL),Signed to the Practice Squad
16163,/players/adrian-colbert-colbead01,2019-09-26,Seattle (NFL),Signed to the Active Roster from the Practice Squad
16162,/players/adrian-colbert-colbead01,2019-10-12,Seattle (NFL),Waived
16161,/players/adrian-colbert-colbead01,2019-10-15,Seattle (NFL),Signed to the Practice Squad
16160,/players/adrian-colbert-colbead01,2019-11-20,Miami (NFL),Signed from the Seattle Seahawks practice squad
16159,/players/adrian-colbert-colbead01,2020-03-20,Miami (NFL),Signed
16158,/players/adrian-colbert-colbead01,2020-08-16,Miami (NFL),Waived
16157,/players/adrian-colbert-colbead01,2020-08-22,Kansas City (NFL),Signed
16156,/players/adrian-colbert-colbead01,2020-09-05,Kansas City (NFL),Waived
16155,/players/adrian-colbert-colbead01,2020-09-06,NY Giants (NFL),Acquired via waivers (from the Kansas City Chiefs)
16154,/players/adrian-colbert-colbead01,2020-11-04,NY Giants (NFL),Placed on Injured Reserve (Shoulder)
16153,/players/adrian-colbert-colbead01,2020-12-16,NY Giants (NFL),Designated for return from Injured Reserve
16152,/players/adrian-colbert-colbead01,2020-12-19,NY Giants (NFL),Activated from Injured Reserve
16151,/players/adrian-colbert-colbead01,2021-05-21,New England (NFL),Signed
16150,/players/adrian-colbert-colbead01,2021-08-31,New England (NFL),Released
16149,/players/adrian-colbert-colbead01,2021-09-06,NY Jets (NFL),Signed to the Practice Squad
16148,/players/adrian-colbert-colbead01,2021-09-11,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
16147,/players/adrian-colbert-colbead01,2021-09-13,NY Jets (NFL),Returned to the Practice Squad
16146,/players/adrian-colbert-colbead01,2021-09-18,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
16144,/players/adrian-colbert-colbead01,2021-09-20,NY Jets (NFL),Returned to the Practice Squad
16145,/players/adrian-colbert-colbead01,2021-09-20,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
16143,/players/adrian-colbert-colbead01,2021-10-26,NY Jets (NFL),Released
16142,/players/adrian-colbert-colbead01,2021-12-20,Cleveland (NFL),Signed to the Practice Squad
16141,/players/adrian-colbert-colbead01,2021-12-24,Cleveland (NFL),Signed to the Active Roster from the Practice Squad
16140,/players/adrian-colbert-colbead01,2021-12-27,Cleveland (NFL),Returned to the Practice Squad
16139,/players/adrian-colbert-colbead01,2022-01-03,Cleveland (NFL),Signed to the Active Roster from the Practice Squad
16138,/players/adrian-colbert-colbead01,2022-01-04,Cleveland (NFL),Returned to the Practice Squad
16137,/players/adrian-colbert-colbead01,2022-01-08,Cleveland (NFL),Signed to the Active Roster from the Practice Squad
16136,/players/adrian-colbert-colbead01,2022-01-10,Cleveland (NFL),Returned to the Practice Squad
16135,/players/adrian-colbert-colbead01,2022-08-09,Tennessee (NFL),Signed
16134,/players/adrian-colbert-colbead01,2022-08-30,Tennessee (NFL),Released
16133,/players/adrian-colbert-colbead01,2022-11-29,Chicago (NFL),Signed to the Practice Squad
16132,/players/adrian-colbert-colbead01,2022-12-03,Chicago (NFL),Signed to the Active Roster from the Practice Squad
16131,/players/adrian-colbert-colbead01,2022-12-05,Chicago (NFL),Returned to the Practice Squad
16130,/players/adrian-colbert-colbead01,2023-01-07,Chicago (NFL),Signed to the Active Roster from the Practice Squad
16128,/players/adrian-colbert-colbead01,2023-01-09,Chicago (NFL),Returned to the Practice Squad
16129,/players/adrian-colbert-colbead01,2023-01-09,Chicago (NFL),Signed to a future contract
16127,/players/adrian-colbert-colbead01,2023-08-21,Chicago (NFL),Placed on Injured Reserve (Undisclosed)
16126,/players/adrian-colbert-colbead01,2023-08-29,Chicago (NFL),Released from Injured Reserve
16125,/players/adrian-colbert-colbead01,2023-11-22,Chicago (NFL),Signed to the Practice Squad
16124,/players/adrian-colbert-colbead01,2024-01-08,Chicago (NFL),Signed to a future contract
13736,/players/ahkello-witherspoon-witheah01,2017-05-12,San Francisco (NFL),Signed
13735,/players/ahkello-witherspoon-witheah01,2018-12-19,San Francisco (NFL),Placed on Injured Reserve (Knee)
13734,/players/ahkello-witherspoon-witheah01,2021-03-19,Seattle (NFL),Signed
13733,/players/ahkello-witherspoon-witheah01,2021-09-03,Seattle (NFL),Traded to the Pittsburgh Steelers
13732,/players/ahkello-witherspoon-witheah01,2022-03-25,Pittsburgh (NFL),Re-signed
13731,/players/ahkello-witherspoon-witheah01,2022-12-03,Pittsburgh (NFL),Placed on Injured Reserve (Hamstring)
13730,/players/ahkello-witherspoon-witheah01,2022-12-28,Pittsburgh (NFL),Designated for return from Injured Reserve
13729,/players/ahkello-witherspoon-witheah01,2023-05-17,Pittsburgh (NFL),Released
13728,/players/ahkello-witherspoon-witheah01,2023-06-29,LA Rams (NFL),Signed
6003,/players/ahmad-dixon-dixonah01,2014-05-16,Dallas (NFL),Signed
6002,/players/ahmad-dixon-dixonah01,2014-09-01,Dallas (NFL),Waived
6001,/players/ahmad-dixon-dixonah01,2014-09-03,Minnesota (NFL),Signed to the Practice Squad
6000,/players/ahmad-dixon-dixonah01,2014-09-08,Chicago (NFL),Signed from the Minnesota Vikings practice squad
5999,/players/ahmad-dixon-dixonah01,2014-11-18,Chicago (NFL),Waived
5998,/players/ahmad-dixon-dixonah01,2014-11-25,Miami (NFL),Signed to the Practice Squad
5997,/players/ahmad-dixon-dixonah01,2014-12-02,Miami (NFL),Released from the Practice Squad
5996,/players/ahmad-dixon-dixonah01,2014-12-06,Minnesota (NFL),Signed to the Practice Squad
5995,/players/ahmad-dixon-dixonah01,2014-12-17,Minnesota (NFL),Signed to the Active Roster from the Practice Squad
5994,/players/ahmad-dixon-dixonah01,2015-05-07,Minnesota (NFL),Waived
5993,/players/ahmad-dixon-dixonah01,2018-02-01,Edmonton (CFL),Re-signed
5992,/players/ahmad-dixon-dixonah01,2018-06-09,Edmonton (CFL),Released
5991,/players/ahmad-dixon-dixonah01,2022-06-16,Philadelphia (USFL2),Returned to the Practice Squad
5990,/players/ahmad-dixon-dixonah01,2022-06-23,Philadelphia (USFL2),Signed to the Active Roster from the Practice Squad
26619,/players/ahmad-gardner-gardnah01,2022-05-09,NY Jets (NFL),Signed
26613,/players/aidan-hutchinson-hutchai01,2022-05-13,Detroit (NFL),Signed
27668,/players/aidan-oconnell-oconnai01,2023-05-12,Las Vegas (NFL),Signed
27492,/players/aj-arcuri-arcuraj01,2022-06-06,LA Rams (NFL),Signed
27491,/players/aj-arcuri-arcuraj01,2022-08-30,LA Rams (NFL),Waived
27490,/players/aj-arcuri-arcuraj01,2022-08-31,LA Rams (NFL),Signed to the Practice Squad
27489,/players/aj-arcuri-arcuraj01,2022-11-19,LA Rams (NFL),Signed to the Active Roster from the Practice Squad
27488,/players/aj-arcuri-arcuraj01,2022-11-21,LA Rams (NFL),Returned to the Practice Squad
27487,/players/aj-arcuri-arcuraj01,2022-11-26,LA Rams (NFL),Signed to the Active Roster from the Practice Squad
27486,/players/aj-arcuri-arcuraj01,2023-08-29,LA Rams (NFL),Waived
27485,/players/aj-arcuri-arcuraj01,2023-08-30,LA Rams (NFL),Signed to the Practice Squad
27484,/players/aj-arcuri-arcuraj01,2024-01-15,LA Rams (NFL),Signed to a future contract
19985,/players/aj-brown-brownaj01,2019-06-13,Tennessee (NFL),Signed
19984,/players/aj-brown-brownaj01,2021-11-27,Tennessee (NFL),Placed on Injured Reserve (Chest)
19983,/players/aj-brown-brownaj01,2021-12-20,Tennessee (NFL),Designated for return from Injured Reserve
19982,/players/aj-brown-brownaj01,2021-12-23,Tennessee (NFL),Activated from Injured Reserve
19981,/players/aj-brown-brownaj01,2022-05-02,Tennessee (NFL),Traded to the Philadelphia Eagles
6966,/players/aj-cann-cannaj01,2015-06-17,Jacksonville (NFL),Signed
6965,/players/aj-cann-cannaj01,2019-03-13,Jacksonville (NFL),Re-signed
6964,/players/aj-cann-cannaj01,2021-08-27,Jacksonville (NFL),Placed on COVID-19 List
6963,/players/aj-cann-cannaj01,2021-09-06,Jacksonville (NFL),Activated from the Reserve/COVID-19 List
6962,/players/aj-cann-cannaj01,2021-10-04,Jacksonville (NFL),Placed on Injured Reserve (Knee)
6961,/players/aj-cann-cannaj01,2022-03-23,Houston (NFL),Signed
6960,/players/aj-cann-cannaj01,2023-03-15,Houston (NFL),Released
8717,/players/aj-derby-derbyaj01,2015-05-08,New England (NFL),Signed
8716,/players/aj-derby-derbyaj01,2015-08-04,New England (NFL),Waived (injured)
8715,/players/aj-derby-derbyaj01,2015-08-05,New England (NFL),Placed on Injured Reserve (Undisclosed)
8714,/players/aj-derby-derbyaj01,2016-10-25,New England (NFL),Traded to the Denver Broncos
8713,/players/aj-derby-derbyaj01,2017-11-18,Denver (NFL),Waived (injured)
8712,/players/aj-derby-derbyaj01,2017-11-20,Denver (NFL),Placed on Injured Reserve (Shoulder)
8711,/players/aj-derby-derbyaj01,2017-11-28,Denver (NFL),Waived from Injured Reserve
8710,/players/aj-derby-derbyaj01,2017-11-29,Miami (NFL),Acquired via waivers (from the Denver Broncos)
8709,/players/aj-derby-derbyaj01,2018-12-04,Miami (NFL),Placed on Injured Reserve (Foot)
8708,/players/aj-derby-derbyaj01,2019-08-07,New Orleans (NFL),Signed
8707,/players/aj-derby-derbyaj01,2019-08-30,New Orleans (NFL),Released
22883,/players/aj-dillon-dilloaj01,2020-07-01,Green Bay (NFL),Signed
22882,/players/aj-dillon-dilloaj01,2020-11-02,Green Bay (NFL),Placed on COVID-19 List
22881,/players/aj-dillon-dilloaj01,2020-12-10,Green Bay (NFL),Activated from the Reserve/COVID-19 List
22880,/players/aj-dillon-dilloaj01,2024-03-15,Green Bay (NFL),Re-signed
22820,/players/aj-epenesa-epeneaj01,2020-05-08,Buffalo (NFL),Signed
22819,/players/aj-epenesa-epeneaj01,2021-12-20,Buffalo (NFL),Placed on COVID-19 List
22818,/players/aj-epenesa-epeneaj01,2021-12-29,Buffalo (NFL),Activated from the Reserve/COVID-19 List
22817,/players/aj-epenesa-epeneaj01,2024-03-18,Buffalo (NFL),Re-signed
1649,/players/aj-klein-kleinaj01,2013-05-23,Carolina (NFL),Signed
1648,/players/aj-klein-kleinaj01,2017-03-10,New Orleans (NFL),Signed
1647,/players/aj-klein-kleinaj01,2017-12-19,New Orleans (NFL),Placed on Injured Reserve (Groin)
1646,/players/aj-klein-kleinaj01,2020-03-27,Buffalo (NFL),Signed
1645,/players/aj-klein-kleinaj01,2021-12-06,Buffalo (NFL),Placed on COVID-19 List
1644,/players/aj-klein-kleinaj01,2021-12-15,Buffalo (NFL),Activated from the Reserve/COVID-19 List
1643,/players/aj-klein-kleinaj01,2022-03-08,Buffalo (NFL),Released
1642,/players/aj-klein-kleinaj01,2022-10-04,NY Giants (NFL),Signed to the Practice Squad
1641,/players/aj-klein-kleinaj01,2022-10-06,Baltimore (NFL),Signed from the New York Giants practice squad
1640,/players/aj-klein-kleinaj01,2022-11-01,Baltimore (NFL),Traded to the Chicago Bears
1639,/players/aj-klein-kleinaj01,2022-11-16,Chicago (NFL),Waived
1638,/players/aj-klein-kleinaj01,2022-11-17,Buffalo (NFL),Acquired via waivers (from the Chicago Bears)
1637,/players/aj-klein-kleinaj01,2023-04-17,Buffalo (NFL),Re-signed
