year,round,pick,team,player,page,position,season,transdate,transaction,trans_year,trans_month,tran_month,season_num
2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2019,,,,,9.0,7
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2013,,,,,9.0,1
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2014,,,,,9.0,2
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2015,,,,,9.0,3
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2016,,,,,9.0,4
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2017,,,,,9.0,5
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2018,,,,,9.0,6
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2019,,,,,9.0,7
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2020,,,,,9.0,8
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2021,,,,,9.0,9
2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2022,,,,,9.0,10
2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2013,,,,,9.0,1
2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2014,,,,,9.0,2
2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2015,,,,,9.0,3
2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2016,,,,,9.0,4
2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2013,,,,,9.0,1
2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2014,,,,,9.0,2
2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2015,,,,,9.0,3
2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2016,,,,,9.0,4
2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2017,,,,,9.0,5
2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2018,,,,,9.0,6
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2013,,,,,9.0,1
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2014,,,,,9.0,2
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2015,,,,,9.0,3
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2016,,,,,9.0,4
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2017,,,,,9.0,5
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2018,,,,,9.0,6
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2019,,,,,9.0,7
2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OT,2020,,,,,9.0,8
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2013,,,,,9.0,1
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2014,,,,,9.0,2
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2015,,,,,9.0,3
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2016,,,,,9.0,4
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2017,,,,,9.0,5
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2018,,,,,9.0,6
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2019,,,,,9.0,7
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2020,,,,,9.0,8
2013,1,12,Oakland Raiders,D.J. Hayden,/players/dj-hayden-haydedj01,DB,2021,,,,,9.0,9
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2013,,,,,9.0,1
