player,1,2,3,4,5,6,7,8,9
Andrew Thomas,Healthy,Ankle,,,,,,,
Andrew Van Ginkel,Foot,Healthy,Healthy,,,,,,
Andrus Peat,Healthy,Healthy,Leg,,Healthy,Healthy,Pectoral,,
Andy Gallik,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,
Andy Isabella,Healthy,Healthy,Healthy,,,,,,
Andy Janovich,Ankle,Healthy,Healthy,Elbow,Healthy,Hamstring,,,
Anfernee Jennings,Healthy,Undisclosed,,,,,,,
Angelo Blackson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Anthony Averett,Healthy,Healthy,Shoulder,Healthy,,,,,
Anthony Barr,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Pectoral,Healthy,
Anthony Brown,Healthy,Healthy,Healthy,Triceps,Ribs,Healthy,,,
Anthony Chickillo,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Anthony Hitchens,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Anthony McFarland,Healthy,Undisclosed,,,,,,,
Anthony Miller,Healthy,Healthy,Healthy,Healthy,,,,,
Anthony Morris,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Anthony Nelson,Healthy,Healthy,Healthy,,,,,,
Anthony Schwartz,Healthy,,,,,,,,
Anthony Walker,Healthy,Healthy,Healthy,Healthy,Hamstring,,,,
Anthony Zettel,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Antoine Brooks,Healthy,Leg,,,,,,,
Antoine Winfield,Healthy,Healthy,,,,,,,
Antone Exum,Healthy,Ribs,Leg,Healthy,Healthy,Healthy,Healthy,Healthy,
Antonio Callaway,Healthy,Healthy,,Knee,,,,,
Antonio Gandy-Golden,Hamstring,Healthy,,,,,,,
Antonio Garcia,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Antonio Gibson,Healthy,Healthy,,,,,,,
Antonio Morrison,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Antwione Williams,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
ArDarius Stewart,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Arden Key,Healthy,Foot,Healthy,Healthy,,,,,
Arie Kouandjio,Healthy,Healthy,Healthy,Quadriceps,Healthy,Healthy,Healthy,,
Arik Armstead,Healthy,Shoulder,Hand,Healthy,Healthy,Healthy,Healthy,,
Arlington Hambright,Healthy,Healthy,,,,,,,
Armani Watts,Groin,Healthy,Healthy,Healthy,,,,,
Armon Watts,Leg,,Healthy,,,,,,
Armonty Bryant,,Knee,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,
Arthur Brown,,Thigh,,Healthy,Healthy,Healthy,Healthy,Healthy,
Arthur Lynch,Back,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Artie Burns,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,,,
