player,1,2,3,4,5,6,7,8,9
Christian Kirksey,Healthy,Healthy,Healthy,Healthy,Hamstring,Chest,Pectoral,Thumb,
Christian McCaffrey,Healthy,Healthy,Healthy,Ankle,Hamstring,,,,
Christian Miller,Healthy,Healthy,Healthy,,,,,,
Christian Ringo,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Christian Sam,Undisclosed,Healthy,Healthy,Healthy,,,,,
Christian Westerman,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Christian Wilkins,Healthy,Healthy,Healthy,,,,,,
Christine Michael,,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,
Chuba Hubbard,Healthy,,,,,,,,
Chuck Clark,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Chukwuma Okorafor,Healthy,Healthy,Healthy,Healthy,,,,,
Chuma Edoga,Knee,Healthy,Knee,,,,,,
Clay Johnston,Healthy,Healthy,,,,,,,
Clayton Fejedelem,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Clayton Geathers,Healthy,Neck,Neck,Healthy,Healthy,Healthy,Healthy,,
Clayton Thorson,Healthy,Healthy,Concussion,,,,,,
Clelin Ferrell,Healthy,Shoulder,Healthy,,,,,,
Clive Walford,Healthy,Healthy,Concussion,Healthy,Healthy,Healthy,Healthy,,
Clyde Edwards-Helaire,Healthy,Knee,,,,,,,
Cobi Hamilton,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Cody Barton,Healthy,Healthy,Healthy,,,,,,
Cody Core,Healthy,Healthy,Healthy,Healthy,Achilles,Healthy,,,
Cody Ford,Healthy,Knee,Healthy,,,,,,
Cody Kessler,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Cody Latimer,Healthy,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,Healthy,
Cody Whitehair,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Cody Wichmann,Healthy,Healthy,Healthy,Healthy,Calf,Healthy,Healthy,,
Colby Gossett,Healthy,Healthy,Healthy,Healthy,,,,,
Colby Parkinson,Healthy,Foot,,,,,,,
Cole Holcomb,Healthy,Healthy,Healthy,,,,,,
Cole Kmet,Healthy,Healthy,,,,,,,
Cole Madison,Healthy,Knee,Healthy,Healthy,,,,,
Cole McDonald,Healthy,Healthy,,,,,,,
Cole Toner,Healthy,Healthy,Healthy,Undisclosed,Healthy,Undisclosed,,,
Cole Van Lanen,Healthy,,,,,,,,
Colin Holba,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Collin Johnson,Hamstring,,,,,,,,
Colton McKivitz,Healthy,Healthy,,,,,,,
Connor Cook,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Connor McGovern,Pectoral,Healthy,Healthy,Healthy,Healthy,Knee,,,
Connor Williams,Healthy,Knee,Healthy,Healthy,,,,,
Conor McDermott,Healthy,Healthy,Healthy,Healthy,Knee,,,,
Cooper Kupp,Healthy,Knee,Healthy,Healthy,Healthy,,,,
Cooper Taylor,,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Cordarrelle Patterson,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Cordrea Tankersley,Healthy,Knee,Knee,Healthy,Healthy,,,,
Corey Ballentine,Healthy,Healthy,Knee,,,,,,
Corey Coleman,Healthy,Hand,Healthy,Knee,Healthy,Healthy,,,
Corey Davis,Healthy,Healthy,Healthy,Healthy,Groin,,,,
Corey Fuller,,Healthy,Healthy,Foot,Undisclosed,Healthy,Healthy,Healthy,
Corey Lemonier,,Healthy,Healthy,Healthy,Foot,Healthy,Healthy,Healthy,
Corey Levin,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Corey Linsley,Healthy,Healthy,Hamstring,Healthy,Healthy,Healthy,Knee,Healthy,
Corey Nelson,Healthy,Healthy,Healthy,Elbow,Healthy,Biceps,Healthy,Healthy,
Corey Robinson,Healthy,Foot,Foot,Healthy,Healthy,Healthy,Healthy,,
Corn Elder,Knee,Healthy,Healthy,Healthy,Healthy,,,,
Cornelius Washington,,Healthy,Quadriceps,Healthy,Healthy,Healthy,Healthy,Healthy,
Cornell Armstrong,Healthy,Healthy,Healthy,Undisclosed,,,,,
Cornell Powell,Healthy,,,,,,,,
Cornellius Carradine,,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,
Cortez Broughton,Healthy,Healthy,Healthy,,,,,,
Cory James,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,
Courtland Sutton,Healthy,Healthy,Knee,Healthy,,,,,
Craig Mager,Healthy,Shoulder,Healthy,Hamstring,Healthy,Healthy,Healthy,,
Creed Humphrey,Healthy,,,,,,,,
Crockett Gillmore,Healthy,Back,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,
Cullen Gillaspia,Healthy,Back,Healthy,,,,,,
Curtis Samuel,Ankle,Healthy,Healthy,Healthy,Groin,,,,
Curtis Weaver,Foot,Healthy,,,,,,,
Cyril Richardson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,Healthy,
Cyrus Jones,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,
Cyrus Kouandjio,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
D'Andre Swift,Healthy,Healthy,,,,,,,
D'Andre Walker,Undisclosed,Healthy,Healthy,,,,,,
D'Ante Smith,Knee,,,,,,,,
D'Joun Smith,Designated for Return,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,
D'Onta Foreman,Achilles,Achilles,Biceps,Healthy,Healthy,,,,
D'Wayne Eskridge,Concussion,,,,,,,,
D.C. Jefferson,,Toe,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
D.J. Alexander,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,Healthy,,
D.J. Chark,Healthy,Healthy,Healthy,Ankle,,,,,
D.J. Fluker,,Healthy,Healthy,Healthy,Toe,Healthy,Healthy,Healthy,Knee
D.J. Hayden,,Foot,Healthy,Hamstring,Healthy,Healthy,Healthy,Hamstring,
D.J. Humphries,Healthy,Healthy,Knee,Knee,Healthy,Healthy,Healthy,,
D.J. Jones,Healthy,Healthy,Ankle,Healthy,Healthy,,,,
D.J. Moore,Healthy,Healthy,Healthy,Healthy,,,,,
D.J. Reader,Healthy,Undisclosed,Healthy,Healthy,Quadriceps,Healthy,,,
D.J. Reed,Healthy,Healthy,Healthy,Healthy,,,,,
D.J. Swearinger,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
D.J. White,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
D.J. Wonnum,Healthy,Healthy,,,,,,,
D.K. Metcalf,Healthy,Healthy,Healthy,,,,,,
Da'Ron Brown,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Da'Ron Payne,Healthy,Healthy,Healthy,Healthy,,,,,
Da'Shawn Hand,Knee,Ankle,Ankle,Groin,,,,,
DaQuan Jones,Healthy,Healthy,Healthy,Biceps,Healthy,Healthy,Healthy,Healthy,
Dadi Nicolas,Knee,Knee,Healthy,Undisclosed,Healthy,Healthy,,,
DaeSean Hamilton,Healthy,Healthy,Healthy,Healthy,,,,,
Daelin Hayes,Ankle,,,,,,,,
Daeshon Hall,Knee,Healthy,Knee,Knee,Healthy,,,,
Daimion Stafford,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dak Prescott,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,,,
Dakota Allen,Healthy,Healthy,Healthy,,,,,,
Dakota Dozier,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dallas Goedert,Healthy,Healthy,Ankle,Healthy,,,,,
Dallas Thomas,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dalton Keene,Knee,Knee,,,,,,,
Dalton Risner,Healthy,Healthy,Healthy,,,,,,
Dalton Schultz,Healthy,Healthy,Healthy,Healthy,,,,,
Dalvin Cook,Knee,Healthy,Healthy,Healthy,Healthy,,,,
Dalvin Tomlinson,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Damar Hamlin,Healthy,,,,,,,,
Damarious Randall,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Damian Swann,Concussion,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,,
Damien Harris,Healthy,Hand,,,,,,,
Damien Lewis,Healthy,Healthy,,,,,,,
Damien Wilson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Damion Ratley,Healthy,Healthy,Healthy,Healthy,,,,,
Damon Arnette,Thumb,Groin,,,,,,,
Damontae Kazee,Healthy,Healthy,Healthy,Achilles,Healthy,,,,
Damontre Moore,,Healthy,Healthy,Foot,Healthy,Healthy,Forearm,Healthy,Undisclosed
Dan Feeney,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Dan Moore,Healthy,,,,,,,,
Dan Vitale,Healthy,Healthy,Calf,Healthy,Healthy,Healthy,,,
Dane Cruikshank,Healthy,Healthy,Undisclosed,Knee,,,,,
Dane Jackson,Healthy,Healthy,,,,,,,
Daniel Braverman,Healthy,Healthy,Healthy,Healthy,,Healthy,,,
Daniel Carlson,Healthy,Healthy,Healthy,Healthy,,,,,
Daniel Jones,Healthy,Healthy,Neck,,,,,,
Daniel Lasco,Healthy,Back,Back,Healthy,Healthy,Healthy,,,
Daniel McCullers,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Daniel Thomas,Arm,Healthy,,,,,,,
Danielle Hunter,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,Pectoral,,
Danny Etling,Healthy,Healthy,Healthy,Healthy,,,,,
Danny Isidora,Healthy,Healthy,Foot,Healthy,Healthy,,,,
Danny Pinter,Healthy,Healthy,,,,,,,
Danny Shelton,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,,
Dante Fowler Jr.,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Dante Pettis,Knee,Healthy,Healthy,Shoulder,,,,,
Darian Thompson,Foot,Healthy,Hamstring,Healthy,Healthy,Healthy,,,
Darius Jackson,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,
Darius Kilgo,Healthy,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,,
Darius Leonard,Healthy,Healthy,Healthy,Healthy,,,,,
Darius Phillips,Healthy,Knee,Groin,Shoulder,,,,,
Darius Philon,Designated for Return,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,,
Darius Slay,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Darius Slayton,Healthy,Healthy,Healthy,,,,,,
Darnay Holmes,Healthy,Ribs,,,,,,,
Darnell Mooney,Healthy,Healthy,,,,,,,
Darnell Savage,Healthy,Healthy,Healthy,,,,,,
Darqueze Dennard,Healthy,Shoulder,Healthy,Healthy,Healthy,Knee,Hamstring,Undisclosed,
Darrell Henderson,Ankle,Ankle,Knee,,,,,,
Darrell Taylor,Healthy,Healthy,,,,,,,
Darren Hall,Healthy,,,,,,,,
Darren Waller,Hamstring,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Darrick Forrest,Hamstring,,,,,,,,
Darron Lee,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,
Darryl Johnson,Healthy,Healthy,Hamstring,,,,,,
Darryl Roberts,Wrist,Healthy,Healthy,Healthy,Healthy,Hip,Quadriceps,,
Darrynton Evans,Hamstring,Knee,,,,,,,
Darwin Thompson,Healthy,Healthy,Healthy,,,,,,
Daryl Williams,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,,
Daryl Worley,Healthy,Healthy,Shoulder,Healthy,Healthy,Healthy,,,
Datone Jones,,Healthy,Healthy,Healthy,Shoulder,Knee,Healthy,Healthy,
Daurice Fountain,Healthy,Ankle,Healthy,Healthy,,,,,
Davante Adams,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
David Amerson,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
David Bakhtiari,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Knee
David Bass,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
David Cobb,Designated for Return,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
David Edwards,Healthy,Healthy,Healthy,,,,,,
David Fales,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
David Johnson,Healthy,Healthy,Wrist,Healthy,Healthy,Concussion,Healthy,,
David King,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
David Long,Healthy,Healthy,Healthy,,,,,,
David Mayo,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,,
David Montgomery,Healthy,Healthy,Knee,,,,,,
David Moore,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
David Morgan,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,,
David Njoku,Healthy,Healthy,Wrist,Knee,Healthy,,,,
David Onyemata,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
David Parry,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,,
David Quessenberry,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
David Sharpe,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
David Williams,Healthy,Healthy,Healthy,Healthy,,,,,
David Yankey,Healthy,Healthy,Healthy,Back,Healthy,Healthy,Healthy,Healthy,
Davion Taylor,Knee,Knee,,,,,,,
Davis Mills,Healthy,,,,,,,,
Davis Tull,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Davis Webb,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Daviyon Nixon,Knee,,,,,,,,
Davon Godchaux,Healthy,Healthy,Healthy,Biceps,Healthy,,,,
Davon Hamilton,Knee,Healthy,,,,,,,
Davontae Harris,Knee,Healthy,Thigh,Hamstring,,,,,
Dawson Knox,Healthy,Healthy,Healthy,,,,,,
Dawuane Smoot,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Dax Milne,Healthy,,,,,,,,
Daylon Mack,Knee,Healthy,Healthy,,,,,,
Dayo Odeyingbo,Healthy,,,,,,,,
Dazz Newsome,Healthy,,,,,,,,
De'Angelo Henderson,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
De'Anthony Thomas,Healthy,Healthy,Healthy,Leg,Leg,Healthy,Healthy,Healthy,
De'Vondre Campbell,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
DeAndre Hopkins,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee
DeAndre Houston-Carson,Healthy,Healthy,Healthy,Healthy,Healthy,Forearm,,,
DeAndre Smelter,Healthy,Hamstring,Healthy,Healthy,Healthy,Healthy,Healthy,,
DeAndre Washington,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
DeAngelo Yancey,Healthy,Healthy,Healthy,,Healthy,,,,
DeForest Buckner,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
DeMarcus Walker,Healthy,Healthy,Healthy,Calf,Hamstring,,,,
DeShon Elliott,Forearm,Knee,Healthy,Biceps,,,,,
DeShone Kizer,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
DeVante Parker,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Hamstring,,
DeVonta Smith,Healthy,,,,,,,,
DeVonte Holloman,,Neck,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Deadrin Senat,Healthy,Healthy,Healthy,Undisclosed,,,,,
Dean Lowry,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Deandre Baker,Healthy,Healthy,Healthy,,,,,,
Deatrich Wise,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Dede Westbrook,Abdomen,Healthy,Healthy,Knee,Healthy,,,,
Dee Ford,Healthy,Healthy,Healthy,Back,Healthy,Healthy,Back,Back,
Dee Milliner,,Achilles,Designated for Return,Hamstring,Healthy,Healthy,Healthy,Healthy,
DeeJay Dallas,Healthy,Healthy,,,,,,,
Deebo Samuel,Healthy,Foot,Healthy,,,,,,
Deion Jones,Healthy,Healthy,Foot,Healthy,Healthy,Healthy,,,
Deiondre' Hall,Healthy,Hamstring,Healthy,Healthy,Healthy,Healthy,,,
Deionte Thompson,Healthy,Healthy,Healthy,,,,,,
Deiontrez Mount,Knee,Healthy,Hamstring,Achilles,Healthy,Healthy,Healthy,,
Delano Hill,Healthy,Hip,,Back,Healthy,,,,
Demarcus Ayers,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Demarcus Christmas,Back,Healthy,Undisclosed,,,,,,
Demarcus Lawrence,Designated for Return,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Foot,
Demarcus Robinson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Demetri Goodson,Healthy,Healthy,Knee,Knee,Healthy,Healthy,Healthy,Healthy,
Demetric Felton,Healthy,,,,,,,,
Demetrius McCray,,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,
Demetrius Rhaney,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Denard Robinson,,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dennis Daley,Healthy,Concussion,Healthy,,,,,,
Denzel Mims,Hamstring,Healthy,,,,,,,
Denzel Perryman,Healthy,Healthy,Ankle,Knee,Healthy,Healthy,Healthy,,
Denzel Ward,Healthy,Healthy,Healthy,Healthy,,,,,
Denzelle Good,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,Knee,,
Deommodore Lenoir,Healthy,,,,,,,,
Deon Bush,Healthy,Healthy,Healthy,Healthy,Healthy,Quadriceps,,,
Deon Cain,Knee,Healthy,Healthy,Head,,,,,
Deon Simon,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Deone Bucannon,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,
Deonte Brown,Knee,,,,,,,,
Derek Barnett,Healthy,Shoulder,Healthy,Healthy,Healthy,,,,
Derek Carr,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Derek Rivers,Knee,Healthy,Undisclosed,Healthy,Healthy,,,,
Derek Watt,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Derrek Tuszka,Hamstring,Healthy,,,,,,,
Derrick Barnes,Healthy,,,,,,,,
Derrick Brown,Healthy,Healthy,,,,,,,
Derrick Henry,Healthy,Healthy,Healthy,Healthy,Healthy,Foot,,,
Derrick Jones,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Derrick Kindred,Healthy,Wrist,Healthy,Healthy,Healthy,Healthy,,,
Derrick Nnadi,Healthy,Healthy,Healthy,Healthy,,,,,
Derrius Guice,Knee,Knee,Healthy,Healthy,,,,,
Derron Smith,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Derwin Gray,Healthy,Healthy,Healthy,,,,,,
Derwin James,Healthy,Foot,Knee,Healthy,,,,,
Deshaun Davis,Healthy,Healthy,Healthy,,,,,,
Deshaun Watson,Knee,Healthy,Healthy,Healthy,Healthy,,,,
Desmond King,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Desmond Trufant,,Healthy,Healthy,Shoulder,Healthy,Healthy,Forearm,Hamstring,
Devante Bond,Hamstring,Healthy,Foot,Healthy,Healthy,Healthy,,,
Devante Downs,Healthy,Healthy,Healthy,Healthy,,,,,
Devante Mays,Healthy,Hamstring,Ankle,Healthy,Healthy,,,,
Devin Asiasi,Undisclosed,Healthy,,,,,,,
Devin Bush,Healthy,Knee,Healthy,,,,,,
Devin Duvernay,Healthy,Healthy,,,,,,,
Devin Fuller,Shoulder,Knee,Healthy,Healthy,Healthy,Healthy,,,
Devin Funchess,Healthy,Knee,Healthy,Healthy,Clavicle,Healthy,Hamstring,,
Devin Lucien,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,,,
Devin Singletary,Healthy,Healthy,Healthy,,,,,,
Devin Smith,Knee,Knee,Knee,Healthy,Healthy,Healthy,Healthy,,
Devin Street,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,
Devin Taylor,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Devin White,Healthy,Healthy,Healthy,,,,,,
Devon Kennard,Healthy,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Devonta Freeman,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,Ankle,Healthy,
Devontae Booker,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Dexter Lawrence,Healthy,Healthy,Healthy,,,,,,
Dexter McDonald,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,,
Dexter McDougle,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dexter Williams,Healthy,Healthy,Healthy,,,,,,
Dez Fitzpatrick,Healthy,,,,,,,,
Dezmen Southward,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,
Dezmin Lewis,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Dezmon Patmon,Healthy,Foot,,,,,,,
Dillon Mitchell,Healthy,Healthy,Healthy,,,,,,
Dillon Radunz,Healthy,,,,,,,,
Dion Dawkins,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Dion Jordan,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dion Sims,,Healthy,Healthy,Healthy,Healthy,Concussion,Healthy,Healthy,
Diontae Johnson,Healthy,Healthy,Healthy,,,,,,
Divine Deablo,Healthy,,,,,,,,
Dominique Easley,Knee,Thigh,Healthy,Knee,Knee,Healthy,Healthy,Healthy,
Don Jones,,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,
Donavon Clark,Knee,Knee,Healthy,Healthy,Healthy,Healthy,,,
Donnel Pumphrey,Hamstring,Healthy,Healthy,Healthy,Healthy,,,,
Donnie Lewis,Healthy,Healthy,Hamstring,,,,,,
Donovan Peoples-Jones,Healthy,Healthy,,,,,,,
Donovan Smith,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Donovan Wilson,Healthy,Healthy,Shoulder,,,,,,
Dontae Johnson,Healthy,Healthy,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,
Dontavius Russell,Healthy,Hip,Healthy,,,,,,
Donte Jackson,Healthy,Healthy,Healthy,Groin,,,,,
Donte Moncrief,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Doran Grant,Healthy,Healthy,Head,Healthy,Healthy,Healthy,Healthy,,
Dorance Armstrong,Healthy,Healthy,Healthy,Healthy,,,,,
Dorial Green-Beckham,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Dorian Johnson,Healthy,Healthy,Undisclosed,Healthy,Healthy,,,,
Dorian O'Daniel,Healthy,Healthy,Ankle,Healthy,,,,,
Dre Greenlaw,Healthy,Healthy,Core Muscle,,,,,,
Dre'Mont Jones,Healthy,Knee,Healthy,,,,,,
Drew Dalman,Healthy,,,,,,,,
Drew Forbes,Knee,Healthy,Knee,,,,,,
Drew Kaser,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Drew Lock,Thumb,Healthy,Healthy,,,,,,
Drew Sample,Ankle,Healthy,Healthy,,,,,,
Dri Archer,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dru Samia,Healthy,Healthy,Hamstring,,,,,,
Drue Tranquill,Healthy,Leg,Healthy,,,,,,
Duke Dawson,Hamstring,Healthy,Knee,Knee,,,,,
Duke Ejiofor,Healthy,Achilles,Knee,Healthy,,,,,
Duke Johnson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Duke Riley,Healthy,Healthy,Healthy,Biceps,,,,,
Duke Shelley,Healthy,Healthy,Hamstring,,,,,,
Duke Williams,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Durham Smythe,Healthy,Healthy,Healthy,Healthy,,,,,
Duron Harmon,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dustin Hopkins,,Healthy,Healthy,Healthy,Hip,Healthy,Healthy,Healthy,
Dustin Woodard,Healthy,Healthy,,,,,,,
Dwayne Gratz,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Dwayne Haskins,Healthy,Healthy,Healthy,,,,,,
Dwayne Washington,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Dyami Brown,Healthy,,,,,,,,
Dylan Cantrell,Healthy,Shoulder,Healthy,Undisclosed,,,,,
Dylan Donahue,Elbow,Healthy,Healthy,Healthy,Healthy,,,,
E.J. Gaines,Healthy,Foot,Healthy,Healthy,Concussion,Core Muscle,Healthy,Healthy,
E.J. Manuel,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
E.J. Speed,Healthy,Healthy,Healthy,,,,,,
Earl Watford,,Healthy,Hand,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed
Earl Wolff,,Knee,Healthy,Leg,Undisclosed,Healthy,Healthy,Healthy,
Earnest Brown,Healthy,,,,,,,,
Easton Stick,Healthy,Healthy,Healthy,,,,,,
Ed Oliver,Healthy,Healthy,Healthy,,,,,,
Ed Reynolds,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,
Ed Stinson,Toe,Healthy,Healthy,Toe,Healthy,Healthy,Healthy,Healthy,
Eddie Goldman,Ankle,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,
Eddie Jackson,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Eddie Lacy,,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,
Eddie Vanderdoes,Healthy,Knee,Concussion,Healthy,Healthy,,,,
Edmond Robinson,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,Healthy,,
Edmund Kugbila,,Back,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Ego Ferguson,Healthy,Knee,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,
Ejuan Price,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Elandon Roberts,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,,,
Elerson Smith,Hamstring,,,,,,,,
Elgton Jenkins,Healthy,Healthy,Knee,,,,,,
Eli Apple,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,,,
Eli Harold,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Elijah Hood,Healthy,Knee,Healthy,Healthy,Healthy,,,,
Elijah Lee,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Elijah McGuire,Healthy,Foot,Healthy,Healthy,Ankle,,,,
Elijah Mitchell,Healthy,,,,,,,,
Elijah Molden,Healthy,,,,,,,,
Elijah Moore,Quadriceps,,,,,,,,
Elijah Qualls,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Emeke Egbule,Healthy,Healthy,Healthy,,,,,,
Emmanuel Ogbah,Healthy,Foot,Healthy,Pectoral,Healthy,Healthy,,,
Eno Benjamin,Healthy,Healthy,,,,,,,
Equanimeous St. Brown,Healthy,Ankle,Knee,Healthy,,,,,
Ereck Flowers,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Eric Ebron,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,Knee,
