index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,end_year,tran_month,season_num
1379,2018,4,108,New York Giants,Kyle Lauletta,/players/kyle-lauletta-lauleky01,QB,2020,,,,,,,9.0,3
1379,2018,4,108,New York Giants,Kyle Lauletta,/players/kyle-lauletta-lauleky01,QB,2021,,,,,,,9.0,4
1383,2018,4,112,Cincinnati Bengals,Mark Walton,/players/mark-walton-waltoma01,RB,2018,,,,,,2019.0,9.0,1
1383,2018,4,112,Cincinnati Bengals,Mark Walton,/players/mark-walton-waltoma01,RB,2019,,,,,,2019.0,9.0,2
1384,2018,4,113,Denver Broncos,DaeSean Hamilton,/players/daesean-hamilton-hamilda02,WR,2018,,,,,,2022.0,9.0,1
1384,2018,4,113,Denver Broncos,DaeSean Hamilton,/players/daesean-hamilton-hamilda02,WR,2019,,,,,,2022.0,9.0,2
1384,2018,4,113,Denver Broncos,DaeSean Hamilton,/players/daesean-hamilton-hamilda02,WR,2020,,,,,,2022.0,9.0,3
1384,2018,4,113,Denver Broncos,DaeSean Hamilton,/players/daesean-hamilton-hamilda02,WR,2021,,,,,,2022.0,9.0,4
1391,2018,4,120,Seattle Seahawks,Will Dissly,/players/will-dissly-disslwi01,TE,2018,2018-10-02,Seattle (NFL),Placed on Injured Reserve (Knee),2018.0,10.0,,10.0,1
1391,2018,4,120,Seattle Seahawks,Will Dissly,/players/will-dissly-disslwi01,TE,2019,2019-10-19,Seattle (NFL),Placed on Injured Reserve (Achilles),2019.0,10.0,,10.0,2
1391,2018,4,120,Seattle Seahawks,Will Dissly,/players/will-dissly-disslwi01,TE,2020,,,,,,,9.0,3
1391,2018,4,120,Seattle Seahawks,Will Dissly,/players/will-dissly-disslwi01,TE,2021,,,,,,,9.0,4
1394,2018,4,123,Miami Dolphins,Durham Smythe,/players/durham-smythe-smythdu01,TE,2018,,,,,,,9.0,1
1394,2018,4,123,Miami Dolphins,Durham Smythe,/players/durham-smythe-smythdu01,TE,2019,,,,,,,9.0,2
1394,2018,4,123,Miami Dolphins,Durham Smythe,/players/durham-smythe-smythdu01,TE,2020,,,,,,,9.0,3
1394,2018,4,123,Miami Dolphins,Durham Smythe,/players/durham-smythe-smythdu01,TE,2021,,,,,,,9.0,4
1397,2018,4,126,Atlanta Falcons,Ito Smith,/players/ito-smith-smithit01,RB,2018,2018-12-18,Atlanta (NFL),Placed on Injured Reserve (Knee),2018.0,12.0,2022.0,12.0,1
1397,2018,4,126,Atlanta Falcons,Ito Smith,/players/ito-smith-smithit01,RB,2019,2019-11-09,Atlanta (NFL),Placed on Injured Reserve (Neck),2019.0,11.0,2022.0,11.0,2
1397,2018,4,126,Atlanta Falcons,Ito Smith,/players/ito-smith-smithit01,RB,2020,,,,,,2022.0,9.0,3
1397,2018,4,126,Atlanta Falcons,Ito Smith,/players/ito-smith-smithit01,RB,2021,,,,,,2022.0,9.0,4
1402,2018,4,131,Miami Dolphins,Kalen Ballage,/players/kalen-ballage-ballaka02,RB,2018,,,,,,,9.0,1
1402,2018,4,131,Miami Dolphins,Kalen Ballage,/players/kalen-ballage-ballaka02,RB,2019,2019-12-03,Miami (NFL),Placed on Injured Reserve (Leg),2019.0,12.0,,12.0,2
1402,2018,4,131,Miami Dolphins,Kalen Ballage,/players/kalen-ballage-ballaka02,RB,2020,,,,,,,9.0,3
1402,2018,4,131,Miami Dolphins,Kalen Ballage,/players/kalen-ballage-ballaka02,RB,2021,,,,,,,9.0,4
1403,2018,4,132,Baltimore Ravens,Jaleel Scott,/players/jaleel-scott-scottja05,WR,2018,2018-08-27,Baltimore (NFL),Placed on Injured Reserve (Hamstring),2018.0,8.0,2021.0,8.0,1
1403,2018,4,132,Baltimore Ravens,Jaleel Scott,/players/jaleel-scott-scottja05,WR,2019,,,,,,2021.0,9.0,2
1403,2018,4,132,Baltimore Ravens,Jaleel Scott,/players/jaleel-scott-scottja05,WR,2020,,,,,,2021.0,9.0,3
1403,2018,4,132,Baltimore Ravens,Jaleel Scott,/players/jaleel-scott-scottja05,WR,2021,,,,,,2021.0,9.0,4
1404,2018,4,133,Green Bay Packers,J'Mon Moore,/players/jmon-moore-moorejm01,WR,2018,,,,,,,9.0,1
1404,2018,4,133,Green Bay Packers,J'Mon Moore,/players/jmon-moore-moorejm01,WR,2019,,,,,,,9.0,2
