index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,end_year,tran_month,season_num
1499,2018,7,228,Oakland Raiders,Marcell Ateman,/players/marcell-ateman-atemama01,WR,2020,,,,,,2021.0,9.0,3
1499,2018,7,228,Oakland Raiders,Marcell Ateman,/players/marcell-ateman-atemama01,WR,2021,,,,,,2021.0,9.0,4
1507,2018,7,236,Dallas Cowboys,Bo Scarbrough,/players/bo-scarbrough-scarbbo01,RB,2018,,,,,,,9.0,1
1507,2018,7,236,Dallas Cowboys,Bo Scarbrough,/players/bo-scarbrough-scarbbo01,RB,2019,,,,,,,9.0,2
1507,2018,7,236,Dallas Cowboys,Bo Scarbrough,/players/bo-scarbrough-scarbbo01,RB,2020,2020-09-07,Detroit (NFL),Placed on Injured Reserve (Undisclosed),2020.0,9.0,,9.0,3
1507,2018,7,236,Dallas Cowboys,Bo Scarbrough,/players/bo-scarbrough-scarbbo01,RB,2021,,,,,,,9.0,4
1508,2018,7,237,Detroit Lions,Nick Bawden,/players/nick-bawden-bawdeni01,RB,2018,2018-07-24,Detroit (NFL),Placed on Injured Reserve (Knee),2018.0,7.0,,7.0,1
1508,2018,7,237,Detroit Lions,Nick Bawden,/players/nick-bawden-bawdeni01,RB,2019,2019-11-20,Detroit (NFL),Placed on Injured Reserve (Knee),2019.0,11.0,,11.0,2
1508,2018,7,237,Detroit Lions,Nick Bawden,/players/nick-bawden-bawdeni01,RB,2020,2020-08-31,Detroit (NFL),Placed on Injured Reserve (Undisclosed),2020.0,8.0,,8.0,3
1508,2018,7,237,Detroit Lions,Nick Bawden,/players/nick-bawden-bawdeni01,RB,2021,,,,,,,9.0,4
1511,2018,7,240,San Francisco 49ers,Richie James,/players/richie-james-jamesri01,WR,2018,,,,,,,9.0,1
1511,2018,7,240,San Francisco 49ers,Richie James,/players/richie-james-jamesri01,WR,2019,,,,,,,9.0,2
1511,2018,7,240,San Francisco 49ers,Richie James,/players/richie-james-jamesri01,WR,2020,2020-09-18,San Francisco (NFL),Placed on Injured Reserve (Hamstring),2020.0,9.0,,9.0,3
1511,2018,7,240,San Francisco 49ers,Richie James,/players/richie-james-jamesri01,WR,2021,2021-09-01,San Francisco (NFL),Placed on Injured Reserve (Knee),2021.0,9.0,,9.0,4
1520,2018,7,249,Cincinnati Bengals,Logan Woodside,/players/logan-woodside-woodslo01,QB,2018,,,,,,,9.0,1
1520,2018,7,249,Cincinnati Bengals,Logan Woodside,/players/logan-woodside-woodslo01,QB,2019,,,,,,,9.0,2
1520,2018,7,249,Cincinnati Bengals,Logan Woodside,/players/logan-woodside-woodslo01,QB,2020,,,,,,,9.0,3
