index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,tran_month,season_num
5,2013,1,6,Cleveland Browns,Barkevious Mingo,/players/barkevious-mingo-mingoba01,LB,2021,,,,,,9.0,9
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2014,,,,,,9.0,2
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2015,,,,,,9.0,3
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2016,,,,,,9.0,4
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2017,,,,,,9.0,5
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2018,2018-12-04,Washington (NFL),Placed on Injured Reserve (Biceps),2018.0,12.0,12.0,6
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2019,,,,,,9.0,7
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2020,,,,,,9.0,8
6,2013,1,7,Arizona Cardinals,Jonathan Cooper,/players/jonathan-cooper-coopejo06,OG,2021,,,,,,9.0,9
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2014,,,,,,9.0,2
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2015,,,,,,9.0,3
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2016,,,,,,9.0,4
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2017,,,,,,9.0,5
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2018,,,,,,9.0,6
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2019,,,,,,9.0,7
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2020,2020-09-03,San Francisco (NFL),Placed on Injured Reserve (Knee),2020.0,9.0,9.0,8
7,2013,1,8,St. Louis Rams,Tavon Austin,/players/tavon-austin-austita01,WR,2021,2021-09-02,Jacksonville (NFL),Placed on Injured Reserve (Quadriceps),2021.0,9.0,9.0,9
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2014,2014-10-13,NY Jets (NFL),Placed on Injured Reserve (Achilles),2014.0,10.0,10.0,2
