player|position|injury|practice_status|game_status|team|gamedate|year
Fred Beasley |RB|Back||Probable|49ers|THURSDAY, SEPTEMBER 5TH|2002
Fred Beasley |RB|Back||Probable|Giants|THURSDAY, SEPTEMBER 5TH|2002
Rod Gardner |WR|Shoulder||Probable|Redskins|THURSDAY, NOVEMBER 28TH|2002
Walter Rasby |TE|Abdomen||Probable|Redskins|THURSDAY, NOVEMBER 28TH|2002
Rod Gardner |WR|Shoulder||Probable|Cowboys|THURSDAY, NOVEMBER 28TH|2002
Walter Rasby |TE|Abdomen||Probable|Cowboys|THURSDAY, NOVEMBER 28TH|2002
David Givens |WR|Leg||Questionable|Patriots|THURSDAY, NOVEMBER 28TH|2002
David Givens |WR|Leg||Questionable|Lions|THURSDAY, NOVEMBER 28TH|2002
Chad Pennington |QB|Wrist||Out|Jets|THURSDAY, SEPTEMBER 4TH|2003
Chad Pennington |QB|Wrist||Out|Redskins|THURSDAY, SEPTEMBER 4TH|2003
Derrius Thompson |WR|Oblique||Probable|Dolphins|THURSDAY, NOVEMBER 27TH|2003
Jay Fiedler |QB|Knee||Probable|Dolphins|THURSDAY, NOVEMBER 27TH|2003
J.R. Tolver |WR|Knee||Out|Dolphins|THURSDAY, NOVEMBER 27TH|2003
Sam Simmons |WR|Ankle||Out|Dolphins|THURSDAY, NOVEMBER 27TH|2003
Derrius Thompson |WR|Oblique||Probable|Cowboys|THURSDAY, NOVEMBER 27TH|2003
Jay Fiedler |QB|Knee||Probable|Cowboys|THURSDAY, NOVEMBER 27TH|2003
J.R. Tolver |WR|Knee||Out|Cowboys|THURSDAY, NOVEMBER 27TH|2003
Sam Simmons |WR|Ankle||Out|Cowboys|THURSDAY, NOVEMBER 27TH|2003
Brett Favre |QB|Thumb||Probable|Packers|THURSDAY, NOVEMBER 27TH|2003
Brett Favre |QB|Thumb||Probable|Lions|THURSDAY, NOVEMBER 27TH|2003
James Mungro |RB|Wrist||Questionable|Colts|THURSDAY, SEPTEMBER 9TH|2004
Brad Pyatt |WR|Thigh||Questionable|Colts|THURSDAY, SEPTEMBER 9TH|2004
Troy Walters |WR|Wrist||Out|Colts|THURSDAY, SEPTEMBER 9TH|2004
Aaron Moorehead |WR|Ankle||Probable|Colts|THURSDAY, SEPTEMBER 9TH|2004
James Mungro |RB|Wrist||Questionable|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Brad Pyatt |WR|Thigh||Questionable|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Troy Walters |WR|Wrist||Out|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Aaron Moorehead |WR|Ankle||Probable|Patriots|THURSDAY, SEPTEMBER 9TH|2004
Erron Kinney |TE|Calf||Questionable|Titans|THURSDAY, SEPTEMBER 9TH|2004
Tyrone Calico |WR|Knee||Out|Titans|THURSDAY, SEPTEMBER 9TH|2004
Jake Schifino |WR|Hamstring||Questionable|Titans|THURSDAY, SEPTEMBER 9TH|2004
Erron Kinney |TE|Calf||Questionable|Dolphins|THURSDAY, SEPTEMBER 9TH|2004
Tyrone Calico |WR|Knee||Out|Dolphins|THURSDAY, SEPTEMBER 9TH|2004
Jake Schifino |WR|Hamstring||Questionable|Dolphins|THURSDAY, SEPTEMBER 9TH|2004
Troy Walters |WR|Upper Arm Fracture||Questionable|Colts|THURSDAY, NOVEMBER 25TH|2004
Troy Walters |WR|Upper Arm Fracture||Questionable|Lions|THURSDAY, NOVEMBER 25TH|2004
James Thrash |WR|Hamstring||Probable|Redskins|SATURDAY, DECEMBER 18TH|2004
Laveranues Coles |WR|Toe||Probable|Redskins|SATURDAY, DECEMBER 18TH|2004
Robert Royal |TE|Back||Probable|Redskins|SATURDAY, DECEMBER 18TH|2004
James Thrash |WR|Hamstring||Probable|49ers|SATURDAY, DECEMBER 18TH|2004
Laveranues Coles |WR|Toe||Probable|49ers|SATURDAY, DECEMBER 18TH|2004
Robert Royal |TE|Back||Probable|49ers|SATURDAY, DECEMBER 18TH|2004
Casey Cramer |RB|Concussion||Doubtful|Panthers|SATURDAY, DECEMBER 18TH|2004
Nick Goings |RB|Ankle||Probable|Panthers|SATURDAY, DECEMBER 18TH|2004
Casey Cramer |RB|Concussion||Doubtful|Falcons|SATURDAY, DECEMBER 18TH|2004
Nick Goings |RB|Ankle||Probable|Falcons|SATURDAY, DECEMBER 18TH|2004
Duce Staley |RB|Hamstring||Questionable|Steelers|SATURDAY, DECEMBER 18TH|2004
Verron Haynes |RB|Knee||Questionable|Steelers|SATURDAY, DECEMBER 18TH|2004
Plaxico Burress |WR|Hamstring||Questionable|Steelers|SATURDAY, DECEMBER 18TH|2004
Duce Staley |RB|Hamstring||Questionable|Giants|SATURDAY, DECEMBER 18TH|2004
Verron Haynes |RB|Knee||Questionable|Giants|SATURDAY, DECEMBER 18TH|2004
Plaxico Burress |WR|Hamstring||Questionable|Giants|SATURDAY, DECEMBER 18TH|2004
Robert Ferguson |WR|Head, Neck||Out|Packers|FRIDAY, DECEMBER 24TH|2004
Robert Ferguson |WR|Head, Neck||Out|Vikings|FRIDAY, DECEMBER 24TH|2004
Kerry Collins |QB|Abdomen||Probable|Raiders|FRIDAY, DECEMBER 24TH|2004
Tyrone Wheatley |RB|Hamstring, Foot||Out|Raiders|FRIDAY, DECEMBER 24TH|2004
Courtney Anderson |TE|Knee||Doubtful|Raiders|FRIDAY, DECEMBER 24TH|2004
John Stone |WR|Hamstring||Probable|Raiders|FRIDAY, DECEMBER 24TH|2004
Kerry Collins |QB|Abdomen||Probable|Chiefs|FRIDAY, DECEMBER 24TH|2004
Tyrone Wheatley |RB|Hamstring, Foot||Out|Chiefs|FRIDAY, DECEMBER 24TH|2004
Courtney Anderson |TE|Knee||Doubtful|Chiefs|FRIDAY, DECEMBER 24TH|2004
John Stone |WR|Hamstring||Probable|Chiefs|FRIDAY, DECEMBER 24TH|2004
Reuben Droughns |RB|Neck, Knee||Probable|Broncos|FRIDAY, DECEMBER 24TH|2004
Triandos Luke |WR|Shoulder||Probable|Broncos|FRIDAY, DECEMBER 24TH|2004
Tatum Bell |RB|Shoulder||Probable|Broncos|FRIDAY, DECEMBER 24TH|2004
Kyle Johnson |RB|Ankle||Doubtful|Broncos|FRIDAY, DECEMBER 24TH|2004
Reuben Droughns |RB|Neck, Knee||Probable|Titans|FRIDAY, DECEMBER 24TH|2004
Triandos Luke |WR|Shoulder||Probable|Titans|FRIDAY, DECEMBER 24TH|2004
Tatum Bell |RB|Shoulder||Probable|Titans|FRIDAY, DECEMBER 24TH|2004
Kyle Johnson |RB|Ankle||Doubtful|Titans|FRIDAY, DECEMBER 24TH|2004
Wayne Chrebet |WR|Concussion||Probable|Jets|SATURDAY, JANUARY 8TH|2004
Wayne Chrebet |WR|Concussion||Probable|Chargers|SATURDAY, JANUARY 8TH|2004
Arlen Harris |RB|Hamstring||Doubtful|Rams|SATURDAY, JANUARY 8TH|2004
Isaac Bruce |WR|Hip||Probable|Rams|SATURDAY, JANUARY 8TH|2004
Arlen Harris |RB|Hamstring||Doubtful|Seahawks|SATURDAY, JANUARY 8TH|2004
Isaac Bruce |WR|Hip||Probable|Seahawks|SATURDAY, JANUARY 8TH|2004
Chad Pennington |QB|Illness||Probable|Jets|SATURDAY, JANUARY 15TH|2004
Chad Pennington |QB|Illness||Probable|Steelers|SATURDAY, JANUARY 15TH|2004
Steven Jackson |RB|Ribs||Probable|Rams|SATURDAY, JANUARY 15TH|2004
Arlen Harris |RB|Hamstring||Questionable|Rams|SATURDAY, JANUARY 15TH|2004
Isaac Bruce |WR|Groin, Hand||Probable|Rams|SATURDAY, JANUARY 15TH|2004
Steven Jackson |RB|Ribs||Probable|Falcons|SATURDAY, JANUARY 15TH|2004
Arlen Harris |RB|Hamstring||Questionable|Falcons|SATURDAY, JANUARY 15TH|2004
Isaac Bruce |WR|Groin, Hand||Probable|Falcons|SATURDAY, JANUARY 15TH|2004
Doug Gabriel |WR|Finger||Out|Raiders|THURSDAY, SEPTEMBER 8TH|2005
Justin Fargas |RB|Knee||Questionable|Raiders|THURSDAY, SEPTEMBER 8TH|2005
Jerry Porter |WR|Hamstring||Questionable|Raiders|THURSDAY, SEPTEMBER 8TH|2005
Doug Gabriel |WR|Finger||Out|Patriots|THURSDAY, SEPTEMBER 8TH|2005
Justin Fargas |RB|Knee||Questionable|Patriots|THURSDAY, SEPTEMBER 8TH|2005
Jerry Porter |WR|Hamstring||Questionable|Patriots|THURSDAY, SEPTEMBER 8TH|2005
Samie Parker |WR|Knee||Questionable|Chiefs|FRIDAY, OCTOBER 21ST|2005
Jason Dunn |TE|Knee||Probable|Chiefs|FRIDAY, OCTOBER 21ST|2005
Larry Johnson |RB|Quadricep||Probable|Chiefs|FRIDAY, OCTOBER 21ST|2005
Samie Parker |WR|Knee||Questionable|Dolphins|FRIDAY, OCTOBER 21ST|2005
Jason Dunn |TE|Knee||Probable|Dolphins|FRIDAY, OCTOBER 21ST|2005
Larry Johnson |RB|Quadricep||Probable|Dolphins|FRIDAY, OCTOBER 21ST|2005
Jeb Putzier |TE|Side/Shoulder||Probable|Broncos|THURSDAY, NOVEMBER 24TH|2005
Darius Watts |WR|Ankle||Probable|Broncos|THURSDAY, NOVEMBER 24TH|2005
Tatum Bell |RB|Chest||Questionable|Broncos|THURSDAY, NOVEMBER 24TH|2005
Jeb Putzier |TE|Side/Shoulder||Probable|Cowboys|THURSDAY, NOVEMBER 24TH|2005
Darius Watts |WR|Ankle||Probable|Cowboys|THURSDAY, NOVEMBER 24TH|2005
Tatum Bell |RB|Chest||Questionable|Cowboys|THURSDAY, NOVEMBER 24TH|2005
Peyton Manning |QB|Knee||Probable|Colts|SATURDAY, DECEMBER 24TH|2005
Marvin Harrison |WR|Hand||Questionable|Colts|SATURDAY, DECEMBER 24TH|2005
Peyton Manning |QB|Knee||Probable|Seahawks|SATURDAY, DECEMBER 24TH|2005
Marvin Harrison |WR|Hand||Questionable|Seahawks|SATURDAY, DECEMBER 24TH|2005
Ryan Neufeld |TE|Knee||Out|Bills|SATURDAY, DECEMBER 24TH|2005
J.P. Losman |QB|Shoulder||Probable|Bills|SATURDAY, DECEMBER 24TH|2005
Ryan Neufeld |TE|Knee||Out|Bengals|SATURDAY, DECEMBER 24TH|2005
J.P. Losman |QB|Shoulder||Probable|Bengals|SATURDAY, DECEMBER 24TH|2005
Jim Finn |RB|Ankle||Questionable|Giants|SATURDAY, DECEMBER 24TH|2005
Jim Finn |RB|Ankle||Questionable|Redskins|SATURDAY, DECEMBER 24TH|2005
Chris Brown |RB|Shoulder||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Jarrett Payton |RB|Back||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Erron Kinney |TE|Knee||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Drew Bennett |WR|Knee||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Travis Henry |RB|Ankle||Questionable|Titans|SATURDAY, DECEMBER 24TH|2005
Chris Brown |RB|Shoulder||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Jarrett Payton |RB|Back||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Erron Kinney |TE|Knee||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Drew Bennett |WR|Knee||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Travis Henry |RB|Ankle||Questionable|Dolphins|SATURDAY, DECEMBER 24TH|2005
Frank Gore |RB|Shoulder||Questionable|49ers|SATURDAY, DECEMBER 24TH|2005
Kevan Barlow |RB|||Questionable|49ers|SATURDAY, DECEMBER 24TH|2005
Frank Gore |RB|Shoulder||Questionable|Rams|SATURDAY, DECEMBER 24TH|2005
Kevan Barlow |RB|||Questionable|Rams|SATURDAY, DECEMBER 24TH|2005
Ben Roethlisberger |QB|Thumb||Probable|Steelers|SATURDAY, DECEMBER 24TH|2005
Tommy Maddox |QB|Illness||Probable|Steelers|SATURDAY, DECEMBER 24TH|2005
Ben Roethlisberger |QB|Thumb||Probable|Browns|SATURDAY, DECEMBER 24TH|2005
Tommy Maddox |QB|Illness||Probable|Browns|SATURDAY, DECEMBER 24TH|2005
Kevin Jones |RB|Elbow||Questionable|Lions|SATURDAY, DECEMBER 24TH|2005
Kevin Jones |RB|Elbow||Questionable|Saints|SATURDAY, DECEMBER 24TH|2005
Byron Leftwich |QB|Ankle||Out|Jaguars|SATURDAY, DECEMBER 24TH|2005
Rich Alexis |RB|Groin||Questionable|Jaguars|SATURDAY, DECEMBER 24TH|2005
Greg Jones |RB|Neck||Probable|Jaguars|SATURDAY, DECEMBER 24TH|2005
Byron Leftwich |QB|Ankle||Out|Texans|SATURDAY, DECEMBER 24TH|2005
Rich Alexis |RB|Groin||Questionable|Texans|SATURDAY, DECEMBER 24TH|2005
Greg Jones |RB|Neck||Probable|Texans|SATURDAY, DECEMBER 24TH|2005
LaMont Jordan |RB|Toe||Doubtful|Raiders|SATURDAY, DECEMBER 24TH|2005
Courtney Anderson |TE|Knee||Doubtful|Raiders|SATURDAY, DECEMBER 24TH|2005
Omar Easy |RB|Knee||Probable|Raiders|SATURDAY, DECEMBER 24TH|2005
Randy Moss |WR|Ribs, Groin||Probable|Raiders|SATURDAY, DECEMBER 24TH|2005
LaMont Jordan |RB|Toe||Doubtful|Broncos|SATURDAY, DECEMBER 24TH|2005
Courtney Anderson |TE|Knee||Doubtful|Broncos|SATURDAY, DECEMBER 24TH|2005
Omar Easy |RB|Knee||Probable|Broncos|SATURDAY, DECEMBER 24TH|2005
Randy Moss |WR|Ribs, Groin||Probable|Broncos|SATURDAY, DECEMBER 24TH|2005
Lamar Gordon |RB|Ankle, Foot||Questionable|Eagles|SATURDAY, DECEMBER 24TH|2005
Mike McMahon |QB|Hip||Probable|Eagles|SATURDAY, DECEMBER 24TH|2005
Lamar Gordon |RB|Ankle, Foot||Questionable|Cardinals|SATURDAY, DECEMBER 24TH|2005
Mike McMahon |QB|Hip||Probable|Cardinals|SATURDAY, DECEMBER 24TH|2005
LaDainian Tomlinson |RB|Chest||Questionable|Chargers|SATURDAY, DECEMBER 24TH|2005
Eric Parker |WR|Foot||Questionable|Chargers|SATURDAY, DECEMBER 24TH|2005
LaDainian Tomlinson |RB|Chest||Questionable|Chiefs|SATURDAY, DECEMBER 24TH|2005
Eric Parker |WR|Foot||Questionable|Chiefs|SATURDAY, DECEMBER 24TH|2005
Ashley Lelie |WR|Arm||Probable|Broncos|SATURDAY, DECEMBER 31ST|2005
Mike Anderson |RB|Ankle||Out|Broncos|SATURDAY, DECEMBER 31ST|2005
Ashley Lelie |WR|Arm||Probable|Chargers|SATURDAY, DECEMBER 31ST|2005
Mike Anderson |RB|Ankle||Out|Chargers|SATURDAY, DECEMBER 31ST|2005
Jeremy Shockey |TE|Ankle||Questionable|Giants|SATURDAY, DECEMBER 31ST|2005
Tim Carter |WR|Hip||Questionable|Giants|SATURDAY, DECEMBER 31ST|2005
Jeremy Shockey |TE|Ankle||Questionable|Raiders|SATURDAY, DECEMBER 31ST|2005
Tim Carter |WR|Hip||Questionable|Raiders|SATURDAY, DECEMBER 31ST|2005
Byron Leftwich |QB|Ankle||Probable|Jaguars|SATURDAY, JANUARY 7TH|2005
Rich Alexis |RB|Groin||Probable|Jaguars|SATURDAY, JANUARY 7TH|2005
Greg Jones |RB|Neck||Probable|Jaguars|SATURDAY, JANUARY 7TH|2005
Byron Leftwich |QB|Ankle||Probable|Patriots|SATURDAY, JANUARY 7TH|2005
Rich Alexis |RB|Groin||Probable|Patriots|SATURDAY, JANUARY 7TH|2005
Greg Jones |RB|Neck||Probable|Patriots|SATURDAY, JANUARY 7TH|2005
Tom Brady |QB|Shoulder||Probable|Patriots|SATURDAY, JANUARY 14TH|2005
Patrick Pass |RB|Hamstring||Probable|Patriots|SATURDAY, JANUARY 14TH|2005
Corey Dillon |RB|Calf||Probable|Patriots|SATURDAY, JANUARY 14TH|2005
Heath Evans |RB|Shoulder||Probable|Patriots|SATURDAY, JANUARY 14TH|2005
Daniel Graham |TE|Shoulder||Probable|Patriots|SATURDAY, JANUARY 14TH|2005
Christian Fauria |TE|Foot||Probable|Patriots|SATURDAY, JANUARY 14TH|2005
Tom Brady |QB|Shoulder||Probable|Broncos|SATURDAY, JANUARY 14TH|2005
Patrick Pass |RB|Hamstring||Probable|Broncos|SATURDAY, JANUARY 14TH|2005
Corey Dillon |RB|Calf||Probable|Broncos|SATURDAY, JANUARY 14TH|2005
Heath Evans |RB|Shoulder||Probable|Broncos|SATURDAY, JANUARY 14TH|2005
Daniel Graham |TE|Shoulder||Probable|Broncos|SATURDAY, JANUARY 14TH|2005
Christian Fauria |TE|Foot||Probable|Broncos|SATURDAY, JANUARY 14TH|2005
James Thrash |WR|Thumb||Questionable|Redskins|SATURDAY, JANUARY 14TH|2005
James Thrash |WR|Thumb||Questionable|Seahawks|SATURDAY, JANUARY 14TH|2005
Randy McMichael |TE|Shoulder||Probable|Dolphins|THURSDAY, NOVEMBER 23RD|2006
Ronnie Brown |RB|Groin||Probable|Dolphins|THURSDAY, NOVEMBER 23RD|2006
Daunte Culpepper |QB|Knee||Out|Dolphins|THURSDAY, NOVEMBER 23RD|2006
Wes Welker |WR|Ankle||Probable|Dolphins|THURSDAY, NOVEMBER 23RD|2006
Randy McMichael |TE|Shoulder||Probable|Lions|THURSDAY, NOVEMBER 23RD|2006
Ronnie Brown |RB|Groin||Probable|Lions|THURSDAY, NOVEMBER 23RD|2006
Daunte Culpepper |QB|Knee||Out|Lions|THURSDAY, NOVEMBER 23RD|2006
Wes Welker |WR|Ankle||Probable|Lions|THURSDAY, NOVEMBER 23RD|2006
Dave Moore |TE|Illness||Questionable|Buccaneers|THURSDAY, NOVEMBER 23RD|2006
Michael Pittman |RB|Shoulder||Questionable|Buccaneers|THURSDAY, NOVEMBER 23RD|2006
Alex Smith |TE|Ankle||Doubtful|Buccaneers|THURSDAY, NOVEMBER 23RD|2006
Dave Moore |TE|Illness||Questionable|Cowboys|THURSDAY, NOVEMBER 23RD|2006
Michael Pittman |RB|Shoulder||Questionable|Cowboys|THURSDAY, NOVEMBER 23RD|2006
Alex Smith |TE|Ankle||Doubtful|Cowboys|THURSDAY, NOVEMBER 23RD|2006
Brandon Marshall |WR|Ankle||Probable|Broncos|THURSDAY, NOVEMBER 23RD|2006
Mike Bell |RB|Thigh||Probable|Broncos|THURSDAY, NOVEMBER 23RD|2006
Cedric Cobbs |RB|Ankle||Probable|Broncos|THURSDAY, NOVEMBER 23RD|2006
Rod Smith |WR|Ankle||Probable|Broncos|THURSDAY, NOVEMBER 23RD|2006
Tatum Bell |RB|Toe||Probable|Broncos|THURSDAY, NOVEMBER 23RD|2006
Kyle Johnson |RB|Ankle||Probable|Broncos|THURSDAY, NOVEMBER 23RD|2006
Brandon Marshall |WR|Ankle||Probable|Chiefs|THURSDAY, NOVEMBER 23RD|2006
Mike Bell |RB|Thigh||Probable|Chiefs|THURSDAY, NOVEMBER 23RD|2006
Cedric Cobbs |RB|Ankle||Probable|Chiefs|THURSDAY, NOVEMBER 23RD|2006
Rod Smith |WR|Ankle||Probable|Chiefs|THURSDAY, NOVEMBER 23RD|2006
Tatum Bell |RB|Toe||Probable|Chiefs|THURSDAY, NOVEMBER 23RD|2006
Kyle Johnson |RB|Ankle||Probable|Chiefs|THURSDAY, NOVEMBER 23RD|2006
Daniel Wilcox |TE|Thigh||Questionable|Ravens|THURSDAY, NOVEMBER 30TH|2006
Todd Heap |TE|Back||Questionable|Ravens|THURSDAY, NOVEMBER 30TH|2006
Jamal Lewis |RB|Foot||Questionable|Ravens|THURSDAY, NOVEMBER 30TH|2006
Daniel Wilcox |TE|Thigh||Questionable|Bengals|THURSDAY, NOVEMBER 30TH|2006
Todd Heap |TE|Back||Questionable|Bengals|THURSDAY, NOVEMBER 30TH|2006
Jamal Lewis |RB|Foot||Questionable|Bengals|THURSDAY, NOVEMBER 30TH|2006
Kellen Winslow |TE|Knee||Questionable|Browns|THURSDAY, DECEMBER 7TH|2006
Charlie Frye |QB|Right Wrist||Questionable|Browns|THURSDAY, DECEMBER 7TH|2006
Kellen Winslow |TE|Knee||Questionable|Steelers|THURSDAY, DECEMBER 7TH|2006
Charlie Frye |QB|Right Wrist||Questionable|Steelers|THURSDAY, DECEMBER 7TH|2006
Eric Johnson |TE|Knee||Out|49ers|THURSDAY, DECEMBER 14TH|2006
Eric Johnson |TE|Knee||Out|Seahawks|THURSDAY, DECEMBER 14TH|2006
Oliver Hoyte |RB|Knee||Questionable|Cowboys|THURSDAY, DECEMBER 14TH|2006
Oliver Hoyte |RB|Knee||Questionable|Falcons|THURSDAY, DECEMBER 14TH|2006
Chester Taylor |RB|Ribs||Probable|Vikings|THURSDAY, DECEMBER 21ST|2006
Jeff Dugan |TE|Knee||Probable|Vikings|THURSDAY, DECEMBER 21ST|2006
Travis Taylor |WR|Ankle||Probable|Vikings|THURSDAY, DECEMBER 21ST|2006
Tarvaris Jackson |QB|Knee||Probable|Vikings|THURSDAY, DECEMBER 21ST|2006
Marcus Robinson |WR|Hip||Probable|Vikings|THURSDAY, DECEMBER 21ST|2006
Brooks Bollinger |QB|Left Shoulder||Questionable|Vikings|THURSDAY, DECEMBER 21ST|2006
Chester Taylor |RB|Ribs||Probable|Packers|THURSDAY, DECEMBER 21ST|2006
Jeff Dugan |TE|Knee||Probable|Packers|THURSDAY, DECEMBER 21ST|2006
Travis Taylor |WR|Ankle||Probable|Packers|THURSDAY, DECEMBER 21ST|2006
Tarvaris Jackson |QB|Knee||Probable|Packers|THURSDAY, DECEMBER 21ST|2006
Marcus Robinson |WR|Hip||Probable|Packers|THURSDAY, DECEMBER 21ST|2006
Brooks Bollinger |QB|Left Shoulder||Questionable|Packers|THURSDAY, DECEMBER 21ST|2006
Michael Bennett |RB|Ankle||Questionable|Chiefs|THURSDAY, DECEMBER 21ST|2006
Dante Hall |WR|Illness||Probable|Chiefs|THURSDAY, DECEMBER 21ST|2006
Michael Bennett |RB|Ankle||Questionable|Raiders|THURSDAY, DECEMBER 21ST|2006
Dante Hall |WR|Illness||Probable|Raiders|THURSDAY, DECEMBER 21ST|2006
Jim Finn |RB|Back||Probable|Giants|SATURDAY, DECEMBER 30TH|2006
Jeremy Shockey |TE|Ankle||Questionable|Giants|SATURDAY, DECEMBER 30TH|2006
Jim Finn |RB|Back||Probable|Redskins|SATURDAY, DECEMBER 30TH|2006
Jeremy Shockey |TE|Ankle||Questionable|Redskins|SATURDAY, DECEMBER 30TH|2006
Trent Green |QB|Ankle||Probable|Chiefs|SATURDAY, JANUARY 6TH|2006
Trent Green |QB|Ankle||Probable|Colts|SATURDAY, JANUARY 6TH|2006
Darrell Jackson |WR|Toe||Questionable|Cowboys|SATURDAY, JANUARY 6TH|2006
D.J. Hackett |WR|Hip||Questionable|Cowboys|SATURDAY, JANUARY 6TH|2006
Nate Burleson |WR|Ankle||Probable|Cowboys|SATURDAY, JANUARY 6TH|2006
Darrell Jackson |WR|Toe||Questionable|Seahawks|SATURDAY, JANUARY 6TH|2006
D.J. Hackett |WR|Hip||Questionable|Seahawks|SATURDAY, JANUARY 6TH|2006
Nate Burleson |WR|Ankle||Probable|Seahawks|SATURDAY, JANUARY 6TH|2006
Thomas Tapeh |RB|Knee||Questionable|Eagles|SATURDAY, JANUARY 13TH|2006
Brian Westbrook |RB|Knee||Probable|Eagles|SATURDAY, JANUARY 13TH|2006
Ryan Moats |RB|Ankle||Probable|Eagles|SATURDAY, JANUARY 13TH|2006
Thomas Tapeh |RB|Knee||Questionable|Saints|SATURDAY, JANUARY 13TH|2006
Brian Westbrook |RB|Knee||Probable|Saints|SATURDAY, JANUARY 13TH|2006
Ryan Moats |RB|Ankle||Probable|Saints|SATURDAY, JANUARY 13TH|2006
Ricky Proehl |WR|Hamstring||Questionable|Colts|SATURDAY, JANUARY 13TH|2006
Joseph Addai |RB|Chest||Questionable|Colts|SATURDAY, JANUARY 13TH|2006
Ricky Proehl |WR|Hamstring||Questionable|Ravens|SATURDAY, JANUARY 13TH|2006
Joseph Addai |RB|Chest||Questionable|Ravens|SATURDAY, JANUARY 13TH|2006
Mark Campbell |TE|Back||Out|Saints|THURSDAY, SEPTEMBER 6TH|2007
Mark Campbell |TE|Back||Out|Colts|THURSDAY, SEPTEMBER 6TH|2007
Brad Smith |WR|Back|Full Participation in Practice|Probable|Jets|THURSDAY, NOVEMBER 22ND|2007
Chris Davis |WR|Shoulder|Full Participation in Practice|Probable|Jets|THURSDAY, NOVEMBER 22ND|2007
Joe Kowalewski |TE|Shoulder|Full Participation in Practice|Probable|Jets|THURSDAY, NOVEMBER 22ND|2007
Laveranues Coles |WR|Ankle|Limited Participation in Practice|Questionable|Jets|THURSDAY, NOVEMBER 22ND|2007
Chris Baker |TE|Back|Full Participation in Practice|Probable|Jets|THURSDAY, NOVEMBER 22ND|2007
Brad Smith |WR|Back|Full Participation in Practice|Probable|Cowboys|THURSDAY, NOVEMBER 22ND|2007
Chris Davis |WR|Shoulder|Full Participation in Practice|Probable|Cowboys|THURSDAY, NOVEMBER 22ND|2007
Joe Kowalewski |TE|Shoulder|Full Participation in Practice|Probable|Cowboys|THURSDAY, NOVEMBER 22ND|2007
Laveranues Coles |WR|Ankle|Limited Participation in Practice|Questionable|Cowboys|THURSDAY, NOVEMBER 22ND|2007
Chris Baker |TE|Back|Full Participation in Practice|Probable|Cowboys|THURSDAY, NOVEMBER 22ND|2007
Marvin Harrison |WR|Knee|Did Not Participate In Practice|Out|Colts|THURSDAY, NOVEMBER 22ND|2007
Marvin Harrison |WR|Knee|Did Not Participate In Practice|Out|Falcons|THURSDAY, NOVEMBER 22ND|2007
Koren Robinson |WR|Knee|Full Participation in Practice|Probable|Packers|THURSDAY, NOVEMBER 22ND|2007
Bubba Franks |TE|Knee||Out|Packers|THURSDAY, NOVEMBER 22ND|2007
Ryan Grant |RB|Ankle|Full Participation in Practice|Probable|Packers|THURSDAY, NOVEMBER 22ND|2007
Koren Robinson |WR|Knee|Full Participation in Practice|Probable|Lions|THURSDAY, NOVEMBER 22ND|2007
Bubba Franks |TE|Knee||Out|Lions|THURSDAY, NOVEMBER 22ND|2007
Ryan Grant |RB|Ankle|Full Participation in Practice|Probable|Lions|THURSDAY, NOVEMBER 22ND|2007
Bubba Franks |TE|Knee|Did Not Participate In Practice|Doubtful|Packers|THURSDAY, NOVEMBER 29TH|2007
Ryan Grant |RB|Ankle|Full Participation in Practice|Probable|Packers|THURSDAY, NOVEMBER 29TH|2007
Ruvell Martin |WR|Ankle|Limited Participation in Practice|Probable|Packers|THURSDAY, NOVEMBER 29TH|2007
Bubba Franks |TE|Knee|Did Not Participate In Practice|Doubtful|Cowboys|THURSDAY, NOVEMBER 29TH|2007
Ryan Grant |RB|Ankle|Full Participation in Practice|Probable|Cowboys|THURSDAY, NOVEMBER 29TH|2007
Ruvell Martin |WR|Ankle|Limited Participation in Practice|Probable|Cowboys|THURSDAY, NOVEMBER 29TH|2007
Tony Scheffler |TE|Knee|Full Participation in Practice|Probable|Broncos|THURSDAY, DECEMBER 13TH|2007
Andre Hall |RB|Ankle, Thumb|Full Participation in Practice|Probable|Broncos|THURSDAY, DECEMBER 13TH|2007
Brandon Stokley |WR|Knee|Did Not Participate In Practice|Questionable|Broncos|THURSDAY, DECEMBER 13TH|2007
Javon Walker |WR|Knee|Full Participation in Practice|Questionable|Broncos|THURSDAY, DECEMBER 13TH|2007
Tony Scheffler |TE|Knee|Full Participation in Practice|Probable|Texans|THURSDAY, DECEMBER 13TH|2007
Andre Hall |RB|Ankle, Thumb|Full Participation in Practice|Probable|Texans|THURSDAY, DECEMBER 13TH|2007
